NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Agensi Angkasa Negara (ANGKASA),,,Agensi Angkasa Negara(ANGKASA),"Agensi Angkasa Negara (ANGKASA) Lot 2233, Jalan Turi,Kg. Sg. Lang,42700 Banting,Selangor Darul Ehsan",603-31824000,603-31811304,webmaster@angkasa.gov.my,http://www.angkasa.gov.my/,http://www.facebook.com/angkasa.malaysia,,www.twitter.com/angkasamalaysia,,,http://www.angkasa.gov.my/?q=angkasa-rss.xml,www.youtube.com/user/angkasatv
Agensi Anti Dadah Kebangsaan (AADK),2.945095,101.749279,Agensi Anti Dadah Kebangsaan (AADK),"Agensi Antidadah Kebangsaan, Kementerian Dalam Negeri, Jalan Maktab Perguruan Islam 43000 Kajang, Selangor",603-89112200,603-89262055,webmaster@adk.gov.my,http://www.adk.gov.my,http://www.facebook.com/pages/Agensi-Antidadah-Kebangsaan-Malaysia/106052459435017,,http://twitter.com/AADKMalaysia,http://nodrugplease.blogspot.com/,,http://www.adk.gov.my/web/guest/feeds/-/journal/rss/RSS?doAsGroupId=18&refererPlid=12202&_15_groupId=18,
Agensi Kaunseling & Pengurusan Kredit (AKPK),3.159242,101.695994,Agensi Kaunseling & Pengurusan Kredit (AKPK),"Level 8, Maju Junction Mall 1001 Jalan Sultan Ismail 50250 Kuala Lumpur",0326167766,0326167601,"",http://www.akpk.org.my/,,,,,,,
Agensi Kelayakan Malaysia (MQA),3.099721,101.642691,Agensi Kelayakan Malaysia (MQA),"Tingkat 14B, Menara PKNS-PJ 17, Jalan Yong Shook Lin 46050 Petaling Jaya Selangor Darul Ehsan, MALAYSIA",0379687002,0379569496,webadmin@mqa.gov.my,http://www.mqa.gov.my/,,,,,,,
Agensi Nuklear Malaysia,2.906822,101.76703999999995,Agensi Nuklear Malaysia,"Malaysian Nuclear Agency, Bangi, 43000 Kajang, Selangor, Malaysia",603-8911 2000,603-8925 8262,CorporateComm@nuclearmalaysia.gov.my,http://www.nuclearmalaysia.gov.my/,,,,,,,
Agensi Penguatkuasaan Maritim Malaysia,2.967899,101.709574,Agensi Penguatkuasaan Maritim Malaysia,"Agensi Penguatkuasaan Maritim Malaysia, Jabatan Perdana Menteri, Aras 4-11, One IOI Square, IOI Resort, 62502 Putrajaya",03 8995 7000,03 8941 4000,webapmm@mmea.gov.my,http://www.mmea.gov.my/,,,,,,,
Agensi Remote Sensing Malaysia (ARSM),3.16264,101.68966999999998,"","Malaysian Remote Sensing Agency (ARSM) Ministry of Science, Technology and Innovation (MOSTI) No.13, Jalan Tun Ismail, 50480 KUALA LUMPUR MALAYSIA",603-2697 3400,603-2697 3350,rs@remotesensing.gov.my,http://www.remotesensing.gov.my/,,,,,,,
Akademi Pembangunan Belia Malaysia Batu Gajah,4.444484,100.996153,Akademi Pembangunan Belia Malaysia Batu Gajah,"Akademi Pembangunan Belia Malaysia, KM21 Lebuhraya Ipoh-Lumut, 31560 Siputeh, Perak Darul Ridzuan",053657072,053656187,apbm_bgajah@kbs.gov.my,http://www.apbmbg.gov.my,,,,,,,
Akademi Pembangunan Belia Malaysia Port Dickson,2.412626,101.946129,Akademi Pembangunan Belia Malaysia Port Dickson,"Akademi Pembangunan Belia Malaysia Port Dickson , 71250 Port Dickson, Negeri Sembilan",066619980,066619370,"",http://www.apbmpd.gov.my,,,,,,,
Akademi Sains Malaysia (ASM),3.152761,101.687649,Akademi Sains Malaysia (ASM),"902-4 Jalan Tun Ismail, 50480 Kuala Lumpur",03-2694989,03-2694585,admin@akademisains.gov.my,http://www.akademisains.gov.my,,,,,,,
