BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,KELANTAN,PPD BACHOK,SM agama,DFT0001,SMU(A) DARUL ULUM ALMUHAMMADIAH (SABK),"KOLAM, PAK BADOL",KOTA BHARU,16400,097538401,097538501
2,KELANTAN,PPD BACHOK,SM agama,DFT0002,SM UGAMA (ARAB) DARUL IMAN,"BERIS LALANG, JELAWAT",BACHOK,16370,097532379,097532380
3,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0031,SMK BERIS PANCHOR,TAWANG,BACHOK,16320,097767093,097768786
4,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0032,SMK NIPAH,JALAN  NIPAH,BACHOK,16300,097787304,097788277
5,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0033,SMK BADAK,"CABANG TIGA MELAWI,",BACHOK,16310,097787411,097787410
6,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0034,SMK LONG YUNUS,BERIS KUBOR BESAR,BACHOK,16350,"09-7788358",097783303
7,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0035,SMK PUTERI SAADONG,BUKIT MARAK,KOTA BHARU,16030,097652276,097658317
8,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0036,SMK JELAWAT,JELAWAT,BACHOK,16370,097787400,097787401
9,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0037,SMK PAK BADOL,"KG. PAK BADOL,MELOR",KOTA BHARU,16400,097835303,097831028
10,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0038,SMK SRI GUNUNG,"BUKIT CHENDA,GUNONG,",BACHOK,16390,097825225,097825226
11,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0039,SMK KANDIS,"KG KANDIS, TELONG",BACHOK,16310,097787298,097787290
12,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0040,SMK DATO' PERDANA,KAMPUNG TANGOK,BACHOK,16300,097530021,097787754
13,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0041,SMK KUBANG TELAGA,"JALAN GUNUNG, JELOR",BACHOK,16390,097531629,097531629
14,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0042,SMK TERATAK PULAI,BACHOK,BACHOK,16370,097825410,097825412
15,KELANTAN,PPD BACHOK,SM Kebangsaan,DEA0043,SMK KUBANG GOLOK,KAMPONG KUBANG GOLOK,BACHOK,16300,097530128,TIADA
16,KELANTAN,PPD BACHOK,SM Kebangsaan,DEE0039,SMK BACHOK,"KG.KEMUDI,BACHOK",BACHOK,16300,097788255,097782581
17,KELANTAN,PPD BACHOK,SM Vokasional,DHA0001,SM VOKASIONAL BACHOK,TANGOK.,BACHOK,16300,097532290,097532294
18,KELANTAN,PPD BACHOK,SMK Agama,DRA0001,SMK(A) TOK BACHOK,TANGOK,BACHOK,16310,097780085,097787241
19,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8001,SMK TENGKU INDRA PETRA,JALAN PERSIARAN RAYA,GUA MUSANG,18300,099121663,099121662
20,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8002,SMK BANDAR CHIKU,BANDAR CHIKU,GUA MUSANG,18300,099285335,099285300
21,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8003,SMK PALOH,RKT PALOH 2,GUA MUSANG,18300,099285179,099287141
22,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8004,SMK SUNGAI ASAP,PO BOX 62 SMK SUNGAI ASAP,GUA MUSANG,18300,099121843,099121843
23,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8005,SMK TENGKU BENDAHARA,JEREK,GUA MUSANG,18300,099171212,099171211
24,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8006,SMK TENGKU INDRA PETRA 2,JALAN PULAI LAMA,GUA MUSANG,18300,099124022,099126136
25,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8007,SMK CHIKU 2,FELDA CHIKU 1,GUA MUSANG,18300,099284222,099284221
26,KELANTAN,"PPD GUA MUSANG",SM Kebangsaan,DEA8008,SMK SRI WANGI,"TANAH PUTIH, JALAN MERAPOH",GUA MUSANG,18300,099120430,099120431
27,KELANTAN,PPD JELI,"SM Berasrama Penuh",DEA9006,SEKOLAH MENENGAH SAINS JELI,"",JELI,17600,"6099448200",099448202
28,KELANTAN,PPD JELI,SM Kebangsaan,DEA9001,SMK AYER LANAS,KM40 JALAN JELI TANAH MERAH,JELI,17700,099468234,099468754
29,KELANTAN,PPD JELI,SM Kebangsaan,DEA9002,SMK JELI,JALAN HOSPITAL,JELI,17600,099440224,099440244
30,KELANTAN,PPD JELI,SM Kebangsaan,DEA9003,SMK KUALA BALAH,"KM 35 KG  TG  ABDUL RAHMAN JLN JELI-DABONG",KUALA BALAH,17610,099361044,099362157
31,KELANTAN,PPD JELI,SM Kebangsaan,DEA9004,SMK BATU MELINTANG,KG BATU MELINTANG,JELI,17600,099447281,099447282
32,KELANTAN,PPD JELI,SM Kebangsaan,DEA9005,SEKOLAH MENENGAH KEBANGSAAN JELI 2,"KG. SETING, JALAN JELI DABONG,",KUALA BALAH,17610,099360022,099360023
33,KELANTAN,"PPD KOTA BHARU",Kolej,DHA1001,KOLEJ VOKASIONAL PENGKALAN CHEPA,"DEPAN PUSAT SUMBER PENGKALAN CHEPA KELANTAN.",KOTA BHARU,16100,097738382,"09 -7736112"
