BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,KELANTAN,PPD BACHOK,Kebangsaan,DBA0001,SK ALOR BAKAT,POS MELOR,KOTA BHARU,16400,097533536,TIADA
2,KELANTAN,PPD BACHOK,Kebangsaan,DBA0002,SK BACHOK,JALAN NIPAH,BACHOK,16300,097788346,097783476
3,KELANTAN,PPD BACHOK,Kebangsaan,DBA0003,SK BADAK,CABANG TIGA MELAWI,BACHOK,16310,097787100,097787102
4,KELANTAN,PPD BACHOK,Kebangsaan,DBA0004,SK BAKONG,"KG. BAKONG, JLN. KUBANG TELAGA",BACHOK,16390,097531819,097531819
5,KELANTAN,PPD BACHOK,Kebangsaan,DBA0005,SK BEKELAM,KG BEKELAM,BACHOK,16370,097530067,097530068
6,KELANTAN,PPD BACHOK,Kebangsaan,DBA0006,SK SRI KEMUNTING,KG BEOH GUNONG,BACHOK,16390,097538020,097538020
7,KELANTAN,PPD BACHOK,Kebangsaan,DBA0007,SK BERIS KUBOR BESAR,BERIS KUBOR BESAR,BACHOK,16350,097649606,097649969
8,KELANTAN,PPD BACHOK,Kebangsaan,DBA0008,SK BERIS PANCHOR,TAWANG,BACHOK,16320,097767461,097766160
9,KELANTAN,PPD BACHOK,Kebangsaan,DBA0009,SK BUKIT MARAK,KAMPUNG BUKIT MARAK,BACHOK,16030,097655301,097655302
10,KELANTAN,PPD BACHOK,Kebangsaan,DBA0010,SK CHANTUM,PEJABAT POS BACHOK,BACHOK,16300,097532386,097532388
11,KELANTAN,PPD BACHOK,Kebangsaan,DBA0011,SK GUNONG,"KG BUKIT CHENDA, GUNONG",BACHOK,16390,097825221,097825220
12,KELANTAN,PPD BACHOK,Kebangsaan,DBA0012,SK JELAWAT,PEKAN JELAWAT,BACHOK,16370,097787301,7788370
13,KELANTAN,PPD BACHOK,Kebangsaan,DBA0013,SK KAMPONG CHAP,WAKIL POS JELAWAT,BACHOK,16370,097531813,097530173
14,KELANTAN,PPD BACHOK,Kebangsaan,DBA0014,SK KANDIS,KANDIS,BACHOK,16310,097782150,097789150
15,KELANTAN,PPD BACHOK,Kebangsaan,DBA0015,SK KETING,KAMPUNG KETING,BACHOK,16390,097531700,097531701
16,KELANTAN,PPD BACHOK,Kebangsaan,DBA0016,SK KOLAM,"KG. TOK JUNOH MAHLIGAI, MELOR",BACHOK,16400,097532142,097532143
17,KELANTAN,PPD BACHOK,Kebangsaan,DBA0017,SK KUBANG GOLOK,KAMPUNG KUBANG GOLOK,BACHOK,16300,097784005,097784005
18,KELANTAN,PPD BACHOK,Kebangsaan,DBA0018,SK KUBANG TELAGA,JALAN GUNONG - PASIR PUTEH,BACHOK,16390,097531689,TIADA
19,KELANTAN,PPD BACHOK,Kebangsaan,DBA0019,SK KUCHELONG,DEPAN MASJID KG. KUCHELONG,BACHOK,16370,097530112,""
20,KELANTAN,PPD BACHOK,Kebangsaan,DBA0020,SK PAK BADOL,"KG PAK BADOL , JALAN PASIR PUTEH.",MELOR,16400,097835313,097835313
21,KELANTAN,PPD BACHOK,Kebangsaan,DBA0021,SK PA' PURA,"KG PA'PURA,  BERIS KUBOR BESAR",BACHOK,16350,097531778,TIADA
22,KELANTAN,PPD BACHOK,Kebangsaan,DBA0022,SK PANTAI SENAK,KAMPONG PANTAI SENAK,BACHOK,16320,097767710,097766164
23,KELANTAN,PPD BACHOK,Kebangsaan,DBA0023,SK PAUH SEMBILAN,KG PAUH SEMBILAN,BACHOK,16350,097530115,097530118
24,KELANTAN,PPD BACHOK,Kebangsaan,DBA0024,SK PENGKALAN CHENGAL,BERIS KUBOR BESAR,BACHOK,16350,097789568,097789568
25,KELANTAN,PPD BACHOK,Kebangsaan,DBA0025,SK PERUPOK,JALAN KAMPUNG PERUPOK,BACHOK,16300,097788232,097780117
26,KELANTAN,PPD BACHOK,Kebangsaan,DBA0026,SK SENENG,KG SENENG,BACHOK,16370,097532715,097531715
27,KELANTAN,PPD BACHOK,Kebangsaan,DBA0027,SK SUNGAI DUA,"SK SUNGAI DUA,",BACHOK,16310,097530141,TIADA
28,KELANTAN,PPD BACHOK,Kebangsaan,DBA0028,SK TANJONG JENERA,KG. TANJONG JENERA,BACHOK,16350,097649560,097649560
29,KELANTAN,PPD BACHOK,Kebangsaan,DBA0029,SK TAWANG,KG.TAWANG,BACHOK,16320,097766091,097766095
30,KELANTAN,PPD BACHOK,Kebangsaan,DBA0030,SK TELAGA ARA,"KG TELAGA ARA,",BACHOK,16390,097529021,097531985
31,KELANTAN,PPD BACHOK,Kebangsaan,DBA0031,SK BERIS LALANG,KG BERIS LALANG,BACHOK,16370,097531942,097531944
32,KELANTAN,PPD BACHOK,Kebangsaan,DBA0032,SK TANGOK,SIMPANG TIGA KOMPLEKS TANGOK,BACHOK,16310,097789019,097780773
33,KELANTAN,PPD BACHOK,Kebangsaan,DBA0033,SK JELAWAT 2,BACHOK,BACHOK,16390,097825820,09-7825823
34,KELANTAN,PPD BACHOK,Kebangsaan,DBB0031,SK SERI KEMUDI,KAMPUNG KEMUDI,BACHOK,16300,097787234,097787233
35,KELANTAN,"PPD GUA MUSANG","Jenis Kebangsaan (C)",DBC8001,SJK(C) GUA MUSANG,S.J.K.(C) GUA MUSANG,GUA MUSANG,18300,099120255,099120256
36,KELANTAN,"PPD GUA MUSANG","Jenis Kebangsaan (C)",DBC8002,SJKC KAMPUNG PULAI,KAMPUNG PULAI,GUA MUSANG,18300,0169875028,TIADA
