BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,MELAKA,PPD ALOR GAJAH,Kolej,MHA0001,KOLEJ VOKASIONAL DATUK SERI MOHD. ZIN,JALAN  PENGKALAN,ALOR GAJAH,78000,06-5561200,06-5568996
2,MELAKA,PPD ALOR GAJAH,SM agama,MFT0001,SM AGAMA AL-EHYA AL-KARIM,"JALAN SEKOLAH, KM 36 KAMPUNG TANJUNG BIDARA",MASJID TANAH,78300,063852022,063853732
3,MELAKA,PPD ALOR GAJAH,SM agama,MFT0002,SMA JAIM AL-ASYRAF,"BUKIT MERCHAT, JLN TANJUNG RIMAU LUAR",ALOR GAJAH,78000,065549022,065549022
4,MELAKA,PPD ALOR GAJAH,SM agama,MFT0003,SM ARAB (JAIM) DARUL FALAH,"KM 43, KUALA SUNGAI BARU",MASJID TANAH,78200,063877422,063877422
5,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0071,SMK GHAFAR BABA,MASJID TANAH,MASJID TANAH,78300,06-3841257,063843253
6,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0072,SMK DATO' HAJI TALIB KARIM,SERAHAN TINGKAP 2080,ALOR GAJAH,78000,065561285,065591285
7,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0073,SMK  RAHMAT,KUALA SUNGAI BARU,"KUALA SUNGAI BARU",78200,063876214,063879550
8,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0074,SMK  ADE PUTRA,MASJID TANAH,MASJID TANAH,78300,063841200,063844085
9,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0075,SMK NANING,ALOR GAJAH,Alor Gajah,78000,06-5529275,06-5529275
10,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0095,SMK LUBOK CHINA,LUBOK CHINA,LUBOK CHINA,78100,066966375,066966372
11,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0099,SMK  HANG KASTURI,MASJID TANAH,MASJID TANAH,78300,063841388,063846421
12,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0100,SMK SUNGAI UDANG,SUNGAI UDANG,SUNGAI UDANG,76300,063512132,063510152
13,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0101,SMK DURIAN TUNGGAL,"JLN BUKIT BALAI,  DURIAN TUNGGAL",ALOR GAJAH,76100,065531269,065534755
14,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEA0102,SMK TEBONG,JALAN TEBONG,ALOR GAJAH,76460,064486587,064486587
15,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEB0077,SMK SERI PENGKALAN,ALOR GAJAH,ALOR GAJAH,78000,065561268,065568241
16,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEB0078,SMK PULAU SEBANG,PULAU SEBANG,TAMPIN POS,73000,06-4411346,06-4419187
17,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEB0079,SMK SULTAN ALAUDDIN,MASJID TANAH,MASJID TANAH,78300,06-3841249,06-3841249
18,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEE0074,SMK  SULTAN  MANSOR  SHAH,PULAU SEBANG,TAMPIN POS,73000,064411386,064411386
19,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEE0075,SMK  DATO' DOL SAID,JALAN DATO DOL SAID,ALOR GAJAH,78000,065561286,065568551
20,MELAKA,PPD ALOR GAJAH,SM Kebangsaan,MEE0094,SMK KEM TERENDAK,KEM TERENDAK,KEMTERENDAK,76200,063571126,063573775
21,MELAKA,PPD JASIN,SM agama,MFT1001,SM ARAB ASSAIYIDAH KHADIJAH,"KM 18, KG SERKAM DARAT",MERLIMAU,77300,062632351,062631352
22,MELAKA,PPD JASIN,SM agama,MFT1002,SEK.MEN.ARB.ASSYAKIRIN,SELANDAR,MELAKA,77500,065253290,065253290
23,MELAKA,PPD JASIN,SM agama,MFT1003,SM TAHFIZ AL QURAN (JAIM),KG. CHENDERAH,JASIN,77000,065247288,065247290
24,MELAKA,PPD JASIN,"SM Berasrama Penuh",MRA1001,"SEKOLAH BERASRAMA PENUH INTEGRASI SELANDAR",JALAN BATANG MELAKA,SELANDAR,77500,064462363,064462959
25,MELAKA,PPD JASIN,SM Kebangsaan,MEA1060,SMK ISKANDAR SHAH,JALAN KELUBI,JASIN,77000,065291266,065295924
26,MELAKA,PPD JASIN,SM Kebangsaan,MEA1061,SMK DATO' ABDUL RAHMAN YA'KUB,JALAN JASIN,MERLIMAU,77300,062631407,062636019
27,MELAKA,PPD JASIN,SM Kebangsaan,MEA1072,SMK SRI MAHKOTA,"KM16, UMBAI",MERLIMAU,77300,062619262,062617592
28,MELAKA,PPD JASIN,SM Kebangsaan,MEA1076,SMK SIMPANG BEKOH,ASAHAN,JASIN,77100,065236043,065235893
29,MELAKA,PPD JASIN,SM Kebangsaan,MEA1077,SMK SELANDAR,SELANDAR,SELANDAR,77500,065251144,065251760
30,MELAKA,PPD JASIN,SM Kebangsaan,MEA1078,SMK SUNGAI RAMBAI,JALAN PARIT PUTAT,SUNGAI RAMBAI,77400,062659675,062658937
