BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3017,SJK(C) CHIN HWA (PANTAI ACHEH),PANTAI ACHEH,BALIK PULAU,11010,048662327,048662327
2,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3018,SJK(C) PULAU BETONG,PULAU BETONG,BALIK PULAU,11020,048662068,048664655
3,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3019,SJK(C) CHONG CHENG,SUNGAI ARA,BAYAN LEPAS,11900,046432821,046431485
4,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3020,SJK(C) CHONG TEIK,JALAN RELAU,BALIK PULAU,11000,048668257,048663327
5,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3021,SJK(C) CHUNG SHAN,JALAN SULTAN AZLAN SHAH,BAYAN LEPAS,11900,046436559,046436559
6,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3022,SJK(C) EOK HUA,173 TELUK BAHANG,TELUK BAHANG,11050,048851482,048851482
7,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3023,SJK(C) POI ENG,GERTAK SANGGUL,BAYAN LEPAS,11910,046493133,046493133
8,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3024,SJK(C) SACRED HEART,JALAN UTAMA,BALIK PULAU,11000,048668504,048668504
9,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3025,SJK(C) SIN MIN,SUNGAI PINANG,BALIK PULAU,11010,048662311,048662311
10,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3026,SJK(C) TAR THONG,GENTING,BALIK PULAU,11000,048662195,048662195
11,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3027,SJK(C) WEN KHAI,JALAN BATU MAUNG,BAYAN LEPAS,11960,046264087,046264087
12,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3028,SJK(C) YANG CHENG,TELOK KUMBAR,BAYAN LEPAS,11920,046491233,046491233
13,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3029,SJK(C) YEOK HUA,JALAN BAHARU,BALIK PULAU,11000,048662309,048662309
14,PULAU PINANG,"PPD BARAT DAYA",Jenis Kebangsaan (C),PBC3030,SJK(C) YU CHYE,KUALA SUNGAI PINANG,BALIK PULAU,11010,048662360,048662360
