BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0050,SJK(C) PHENG LOK,AIR KUNING,KAMPAR,31920,054789310,054789310
2,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0051,SJK(C) HWA MIN,JALAN STESEN,TEMOH,35350,054198193,054198193
3,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0052,SJK(C) SUNGAI KROH,MAMBANG DI AWAN,KAMPAR,31920,054780090,054780090
4,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0053,SJK(C) CHENDERIANG,"NO.11, JALAN TEMOH",CHENDERIANG,35300,054162899,054162899
5,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0054,SJK(C) KHEUNG WA,"LOT 1255, JALAN BIDOR",TAPAH,35000,054011135,054011135
6,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0055,SJK(C) BUKIT PAGAR,KAMPUNG BARU BUKIT PAGAR,TAPAH,35000,054012998,054012998
7,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0056,SJK(C) PEKAN GETAH,PEKAN GETAH,TAPAH ROAD,35400,054010528,054010528
8,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0057,SJK(C) PHUI CHEN,JALAN CHANGKAT PETAI,TAPAH ROAD,35400,054182846,054182846
9,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0058,SJK(C) KAMPONG PAHANG,JALAN PAHANG,TAPAH,35000,054018158,054018158
10,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0059,SJK(C) HWA LIAN,BANIR,TAPAH ROAD,35400,0195696023,TIADA
11,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0060,SJK(C) CHOONG HUA (1),JALAN SEKOLAH,BIDOR,35500,054341199,054341199
12,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0061,SJK(C) CHOONG HUA (2),LOT2845 TAMAN BUKIT,BIDOR,35500,054341034,054341034
13,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0062,SJK(C) PIN MIN,BIDOR STESEN,BIDOR,35500,054341677,054341677
14,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0063,SJK(C) KG COLDSTREAM,KAMPONG COLDSTREAM,BIDOR,35500,054332421,054332421
15,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0064,SJK(C) TANAH MAS,"PETI SURAT 16, PEJABAT POS BIDOR",BIDOR,35500,054017085,054017085
16,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0065,SJK(C) PEKAN PASIR,KAMPUNG BARU PEKAN PASIR,BIDOR,35500,054348317,054348317
17,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0066,SJK(C) KUALA BIKAM,KAMPUNG KUALA BIKAM,BIDOR,35500,054331044,054331044
18,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0067,SJK(C) KHAI MENG,SUNGKAI,SUNGKAI,35600,054387288,054387288
19,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0068,SJK(C) HO PIN,"KAMPUNG BARU, SLIM VILLAGE",SLIM RIVER,35800,054520020,054520020
20,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0069,SJK(C) CHIN HUA,PEKAN SLIM RIVER,SLIM RIVER,35800,054520228,054520228
21,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0070,SJK(C) PHIN MIN,BEHRANG STESEN,BEHRANG STESEN,35950,054544526,054544526
22,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0071,SJK(C) BEHRANG ULU,BEHRANG ULU,TANJONG MALIM,35910,054541171,054541171
23,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (C),ABC0072,SJK(C) CHUNG SIN,"121-122, JLN KETOYONG",TANJONG MALIM,35900,054596286,054582470
24,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0073,SJK(T) TAPAH,JALAN DATO'  PONNUSAMY PILLAI,TAPAH,35000,054014510,054014510
25,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0074,SJK(T) KHIR JOHARI,TAPAH ROAD,TAPAH ROAD,35400,054014621,054014621
26,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0075,SJK(T) TUN SAMBANTHAN,JALAN SUNGKAI,BIDOR,35500,054340016,054340016
27,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0076,SJK(T) BHARATHY,JALAN PASAR,CHENDERIANG,35300,054162163,054162163
28,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0077,SJK(T) SUNGKAI,PEKAN SUNGKAI,SUNGKAI,35600,054388116,054388116
29,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0078,SJK(T) SLIM RIVER,KAMPUNG BARU,SLIM RIVER,35800,054527089,054527089
30,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0079,SJK(T) SLIM VILLAGE,SLIM VILLAGE,SLIM RIVER,35800,054520148,054520148
31,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0080,SJK(T) TAN SRI DATO' MANICKAVASAGAM,JALAN KETOYONG,TANJONG MALIM,35900,054590759,054590759
32,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0081,SJK(T) LADANG TONG WAH,LADANG TONG WAH,TAPAH,35000,054270017,054270017
33,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0082,SJK(T) LADANG BIDOR TAHAN,LADANG BIDOR TAHAN,BIDOR,35500,054340097,054340097
34,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0083,SJK(T) LADANG BIKAM,PETI SURAT N0.17,SUNGKAI,35600,TIADA,TIADA
35,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0084,SJK(T) LADANG SUNGAI KRUIT,"LOT 4857, LADANG SUNGAI KRUIT",SUNGKAI,35600,TIADA,TIADA
36,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0086,SJK(T) LADANG SUNGKAI,LADANG SUNGKAI,SUNGKAI,35600,TIADA,TIADA
37,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0088,SJK(T) TROLAK,PEKAN TROLAK,TROLAK,35700,TIADA,TIADA
38,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0089,SJK(T) LADANG KELAPA BALI,LADANG KELAPA BALI,SLIM RIVER,35800,TIADA,TIADA
39,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0090,SJK(T) LADANG CLUNY,LADANG CLUNY,SLIM RIVER,35800,TIADA,TIADA
40,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0092,SJK(T) LADANG KATOYANG,LADANG KATOYANG,TANJONG MALIM,35900,TIADA,TIADA
41,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0106,SJK(T) LADANG BANOPDANE,"BATU 4, JALAN TELUK INTAN",BIDOR,35500,0175196452,TIADA
42,PERAK,"PPD BATANG PADANG",Jenis Kebangsaan (T),ABD0107,SJK(T) LADANG BEHRANG RIVER,LADANG BEHRANG RIVER,TANJONG MALIM,35907,TIADA,TIADA
43,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0001,SK TOH TANDEWA SAKTI,JALAN KELAB,TAPAH,35000,054011341,054011341
44,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0002,SK PENDITA ZA'BA,JALAN TAPAH ROAD,TAPAH ROAD,35400,054182740,054182740
45,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0003,SK BANIR,BANIR,TAPAH ROAD,35400,054270085,054270085
46,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0004,SK TEMOH,KAMPUNG TEMOH STESEN,TEMOH,35350,054690253,054690263
47,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0005,SK CHENDERIANG,JALAN CHENDERIANG,CHENDERIANG,35300,054161461,054161461
48,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0006,SK BIDOR,JALAN SUNGKAI,BIDOR,35500,054340797,054340797
49,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0007,SK KAMPONG POH,KAMPONG POH,BIDOR,35500,054270103,TIADA
50,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0008,SK BATU TIGA,KAMPUNG BATU TIGA,TEMOH,35350,054198507,054190161
51,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0009,SK BATU MELINTANG,KAMPUNG BATU MELINTANG,TAPAH,35000,054270035,054270035
52,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0010,SK HAJI HASAN,CHANGKAT PETAI,TAPAH ROAD,35400,056591069,056591069
53,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0011,SK SRI KINJANG,CHENDERIANG,CHENDERIANG,35300,TIADA,TIADA
54,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0012,SK KAMPONG PAHANG,JALAN PAHANG,TAPAH,35000,054010396,054010396
55,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0013,SK BATU TUJUH,JALAN PAHANG,TAPAH,35000,054010735,054010735
56,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0014,SK JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",BIDOR,35500,054270118,054270119
57,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0015,SK SUNGAI LESONG,KG SUNGAI LESONG,MAMBANG DI AWAN,31950,054780468,054780468
58,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0016,SK AYER KUNING,AYER KUNING KAMPAR,KAMPAR,31920,054789326,054789326
59,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0017,SK BATU MASJID,KAMPONG BATU MASJID,TEMOH,35350,054270021,TIADA
60,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0018,SK SUNGKAI,SUNGKAI,SUNGKAI,35600,054388434,054388434
61,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0019,SK PERLOK,JALAN MENDERANG,SUNGKAI,35600,054386911,054386911
62,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0020,SK BIKAM,KG.BIKAM,SUNGKAI,35600,054386179,TIADA
63,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0021,SK AMINUDIN BAKI,JALAN STESEN,SLIM RIVER,35800,054520650,054520650
64,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0022,SK BALUN,KG. BALUN,SLIM RIVER,35820,054527044,054527044
65,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0023,SK DATUK NAN KAYA,KAMPONG KELAWAR,TANJONG MALIM,35900,0165918271,TIADA
66,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0024,SK CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,SUNGKAI,35600,054389843,054389843
67,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0025,SK ULU SLIM,KG. ULU SLIM,SLIM RIVER,35800,0193444521,TIADA
68,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0026,SK KUALA SLIM,KG. KUALA SLIM,SLIM RIVER,35800,054520072,054520072
69,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0027,SK TANJONG MALIM,JALAN KETOYONG,TANJONG MALIM,35900,054595694,054585924
70,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0028,SK BEHRANG,"BATU 8, BEHRANG ULU",BEHRANG STESEN,35950,TIADA,TIADA
71,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0029,SK SLIM VILLAGE,KAMPUNG SLIM,SLIM RIVER,35800,054527387,054527387
72,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0030,SK DATO' KAMARUDDIN,JALAN KAMPUNG PAUH,BEHRANG STESEN,35950,054544218,054544218
73,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0031,SK FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,SUNGKAI,35600,054388500,054388501
74,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0032,SK SUNGAI BEHRANG,FELDA SUNGAI BEHRANG,SLIM RIVER,35820,054542679,054542679
75,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0033,SK TROLAK TIMUR,FELDA TROLAK TIMUR,TROLAK,35700,054323451,054323451
76,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0034,SK BATU 14,JALAN PAHANG,TAPAH,35000,TIADA,TIADA
77,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0035,SK BESOUT 3,FELDA GUNUNG BESOUT 3,SUNGKAI,35600,054312313,054312313
78,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0110,SK TROLAK UTARA,FELDA TROLAK UTARA,SUNGKAI,35600,054323189,054321004
79,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0118,SK TROLAK SELATAN,FELDA TROLAK SELATAN,SUNGKAI,35600,054323534,054322734
80,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0120,SK SERI BESOUT,FELDA GUNUNG BESOUT 01,SUNGKAI,35600,054311819,054311819
81,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0121,SK BESOUT 4,FELDA BESOUT 4,SUNGKAI,35600,TIADA,TIADA
82,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0122,SK BESOUT 5,FELDA GUNUNG BESOUT 5,SUNGKAI,35600,0194630861,TIADA
83,PERAK,"PPD BATANG PADANG",Kebangsaan,ABA0123,SK POS BERSIH,ULU SLIM,SLIM RIVER,35800,TIADA,TIADA
