BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,SABAH,PPD BEAUFORT,Kolej,XHA3102,KOLEJ VOKASIONAL BEAUFORT,KM 3 JLN BEAUFORT-SIPITANG P/S 1011,BEAUFORT,89808,087217012,087217013
2,SABAH,PPD BEAUFORT,SM Kebangsaan,XEA6065,SMK BEAUFORT,PETI SURAT 291,BEAUFORT,89808,087211125,087212127
3,SABAH,PPD BEAUFORT,SM Kebangsaan,XEA6066,SMK BEAUFORT II,"PETI SURAT 362,",BEAUFORT,89809,087214599,087214516
4,SABAH,PPD BEAUFORT,SM Kebangsaan,XEA6067,"SEKOLAH MENENGAH KEBANGSAAN BEAUFORT III","D/A PPD BEAUFORT, BEG BERKUNCI 15",BEAUFORT,89808,087211143,087211253
5,SABAH,PPD BEAUFORT,SM Kebangsaan,XEA6100,SMK MEMBAKUT II,PETI SURAT 205,MEMBAKUT,89727,087889854,087889841
6,SABAH,PPD BEAUFORT,SM Kebangsaan,XEE6011,SMK GADONG,"PETI SURAT 178,",BEAUFORT,89808,087221602,087225594
7,SABAH,PPD BEAUFORT,SM Kebangsaan,XEE6021,SMK KOTA KLIAS,PETI SURAT 164,BEAUFORT,89808,087881168,087881006
8,SABAH,PPD BEAUFORT,SM Kebangsaan,XEE6061,SMK WESTON,PETI SURAT 197,BEAUFORT,89808,087871454,087871027
9,SABAH,PPD BEAUFORT,SM Kebangsaan,XEE6101,SMK MEMBAKUT,PETI SURAT 51,MEMBAKUT,89728,087889860,087887518
10,SABAH,PPD BEAUFORT,SM Kebangsaan,XFE6051,SM ST JOHN (M),PETI SURAT 68,BEAUFORT,89807,087211508,087222235
11,SABAH,PPD BEAUFORT,SM Kebangsaan,XFE6056,SMK SAINT PAUL,PETI SURAT 53,BEAUFORT,89807,087 212037,087 221081
12,SABAH,PPD BEAUFORT,SM Kebangsaan,XFE6101,SM ST PATRICK,PETI SURAT 16,MEMBAKUT,89727,087887513,087886175
13,SABAH,PPD KENINGAU,Kolej,XKA1099,KOLEJ VOKASIONAL KENINGAU,"BEG BERKUNCI NO. 4,",KENINGAU,89009,087331091,087335451
14,SABAH,PPD KENINGAU,SM Kebangsaan,XEA1001,SMK TULID,PETI SURAT 1236,KENINGAU,89008,0128301170,TIADA
15,SABAH,PPD KENINGAU,SM Kebangsaan,XEA1057,SMK APIN-APIN,PETI SURAT 464,KENINGAU,89008,087335122,087336339
16,SABAH,PPD KENINGAU,SM Kebangsaan,XEA1058,SMK KENINGAU,PETI SURAT 272,KENINGAU,89008,087333107,087330527
17,SABAH,PPD KENINGAU,SM Kebangsaan,XEA1059,SMK KENINGAU II,PETI SURAT 1994,KENINGAU,89008,087391280,087391670
18,SABAH,PPD KENINGAU,SM Kebangsaan,XEA1060,SMK SOOK,PETI SURAT 1613,KENINGAU,89008,087365464,087365780
19,SABAH,PPD KENINGAU,SM Kebangsaan,XEA1061,SMK GUNSANAD II,PETI SURAT 2085,KENINGAU,89008,087336879,087339249
20,SABAH,PPD KENINGAU,SM Kebangsaan,XEE1008,SMK BINGKOR,PETI SURAT 115,KENINGAU,89007,087391191,087392241
21,SABAH,PPD KENINGAU,SM Kebangsaan,XEE1023,SMK GUNSANAD,"PETI SURAT 85, SMK GUNSANAD",KENINGAU,89007,087331587,087334643
22,SABAH,PPD KENINGAU,SM Kebangsaan,XFE1021,SMK KEN HWA (CF),PETI SURAT 55,KENINGAU,89007,087331561,087330561
23,SABAH,PPD KENINGAU,SM Kebangsaan,XFE1044,SMK ST. FRANCIS XAVIER,PETI SURAT 341,KENINGAU,89007,087331325,087338973
24,SABAH,PPD KENINGAU,SMK Agama,XRA1001,"SEKOLAH MENENGAH KEBANGSAAN AGAMA KENINGAU",BEG BERKUNCI NO. 2,KENINGAU,89009,087337290,TIADA
25,SABAH,"PPD KINABATANGAN",SM Kebangsaan,XEA2079,SMK PARIS,WDT 220 KINABATANGAN,SANDAKAN,90200,089575200,089575202
26,SABAH,"PPD KINABATANGAN",SM Kebangsaan,XEA2220,SMK BUKIT GARAM,"WDT 12, KOTA KINABATANGAN",SANDAKAN,90200,089561909,089561386
27,SABAH,"PPD KINABATANGAN",SM Kebangsaan,XEA2225,SMK SUKAU,"WDT 212, KOTA KINABATANGAN",SANDAKAN,90200,089845488,TIADA
28,SABAH,"PPD KINABATANGAN",SM Kebangsaan,XEA2227,SMK BUKIT GARAM II,WDT 206,SANDAKAN,90200,089561252,089561251
29,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEA5327,SMK NARINANG,PETI SURAT 110,KOTA BELUD,89158,088976571,088971467
30,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEA5351,SMK TAUN GUSI,PETI SURAT 81,KOTA BELUD,89158,088976116,088976112
31,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEA5352,SMK USUKAN,PETI SURAT 181,KOTA BELUD,89158,088977227,088977226
32,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEA5353,SMK PEKAN KOTA BELUD,WDT 139,KOTA BELUD,89159,088977279,088975442
33,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEA5354,SMK TAMBULION,W.D.T 86,KOTA BELUD,89158,088973313,088976587
34,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEA5355,SMK PEKAN II KOTA BELUD,PETI SURAT329,KOTA BELUD,89158,088972901,088972902
35,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEA5356,SEKOLAH MENENGAH KEBANGSAAN TAUN GUSI II,BEG BERKUNCI NO 5,KOTA BELUD,89159,088976506,""
36,SABAH,"PPD KOTA BELUD",SM Kebangsaan,XEE5318,SMK ARSHAD,PETI SURAT 19,KOTA BELUD,89157,088976530,088977930
37,SABAH,"PPD KOTA BELUD",SMK Agama,XRA5301,SMKA TUN SAID,"BEG BERKUNCI NO. 4,",KOTA BELUD,89159,088971185,088971364
38,SABAH,"PPD KOTA KINABALU",Kolej,XKB4001,KOLEJ VOKASIONAL LIKAS,PETI SURAT 10821,"KOTA KINABALU",88809,088423742,088429075
39,SABAH,"PPD KOTA KINABALU",Sekolah Sukan,XEA4047,SEKOLAH SUKAN MALAYSIA SABAH,JALAN UNIVERSITI,"KOTA KINABALU",88450,088402140,088402142
40,SABAH,"PPD KOTA KINABALU","SM Berasrama Penuh",XEA4039,SEK MEN SAINS (SMESH),"BEG BERKUNCI 116,","KOTA KINABALU",88999,088246268,088247540
41,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4040,SMK SANZAC,"PETI SURAT 264,","TANJUNG ARU",89458,088210360,088211360
42,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4041,SMK INANAM,PETI SURAT A-290,INANAM,89357,088425244,088433641
43,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4042,SMK PULAU GAYA,PETI SURAT 14604,"KOTA  KINABALU",88852,088475310,088228651
44,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4043,SMK PEREMPUAN,PETI SURAT 12949,"KOTA KINABALU",88832,088-424064,088-424066
45,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4044,SMK TAMAN TUN FUAD,"JALAN BUNDUSAN, LUYANG","KOTA KINABALU",88300,088724571,088721024
46,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4045,SMK KOLOMBONG,"PETI SURAT A-155,","KOTA KINABALU",89357,6088437954,6088431540
47,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4046,SMK TEBOBON,PETI SURAT A-12,INANAM,88450,088496392,088496396
48,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEA4048,"SEKOLAH MENENGAH KEBANGSAAN BANDARAYA II","WDT NO. 12, Pejabat Pos Inanam","KOTA KINABALU",89358,088470761,088470762
49,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEE4020,SMK LIKAS,"PETI SURAT 235,POS LIKAS","KOTA KINABALU",88856,088-239595,088-312179
50,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEE4032,SMK  BANDARAYA KOTA KINABALU,"KM18, JALAN TUARAN BY PASS, KOTA KINABALU","KOTA KINABALU",88450,088492882,088491855
51,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XEE4038,SM MAKTAB SABAH,PETI SURAT 10548,"KOTA KINABALU",88806,088225201,088216414
52,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XFE4001,SMK ALL SAINTS (M),JALAN TELUK LIKAS P O BOX 10520,"KOTA KINABALU",88805,088428610,088425662
53,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XFE4021,SM TINGGI KOTA KINABALU,"PETI SURAT 10224,","KOTA KINABALU",88802,088211788,088219373
54,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XFE4022,SMK LA SALLE TG ARU (M),PETI SURAT 10282,"KOTA KINABALU",88803,088224326,088268687
55,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XFE4027,SMK LOK YUK LIKAS (CF),PETI SURAT 10352,"KOTA KINABALU",88803,088426737,088426939
56,SABAH,"PPD KOTA KINABALU",SM Kebangsaan,XFE4045,SMK SHAN TAO (CF),PETI SURAT 11080,"KOTA KINABALU",88811,088428448,088428449
