BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,SABAH,PPD BEAUFORT,Jenis Kebangsaan (C),XCC6027,SJK(C) KUNG MING (1),PETI SURAT 5,BEAUFORT,89807,087211598,6087226219
2,SABAH,PPD BEAUFORT,Jenis Kebangsaan (C),XCC6030,SJK(C) LIAN HWA,PETI SURAT 379,BEAUFORT,89808,087224591,087224591
3,SABAH,PPD BEAUFORT,Jenis Kebangsaan (C),XCC6101,SJK(C) PEI YIN,PETI SURAT 20,MEMBAKUT,89727,087887550,087887550
4,SABAH,PPD BEAUFORT,Kebangsaan,XBA6002,SK BANGKALALAK,PETI SURAT 266,BEAUFORT,89808,"",TIADA
5,SABAH,PPD BEAUFORT,Kebangsaan,XBA6003,SK BATANDOK,PETI SURAT 204,BEAUFORT,89808,087223144,TIADA
6,SABAH,PPD BEAUFORT,Kebangsaan,XBA6005,SK BENTUKA,PETI SURAT 336,BEAUFORT,89808,087209481,087209481
7,SABAH,PPD BEAUFORT,Kebangsaan,XBA6007,SK BUKAU,PETI SURAT 554,BEAUFORT,89808,087224116,087 224116
8,SABAH,PPD BEAUFORT,Kebangsaan,XBA6010,SK GADONG,PETISURAT 165,BEAUFORT,89808,087223431,TIADA
9,SABAH,PPD BEAUFORT,Kebangsaan,XBA6012,SK GARAMA,PETI SURAT 327,BEAUFORT,89808,087211336,TIADA
10,SABAH,PPD BEAUFORT,Kebangsaan,XBA6013,SK KABAJANG,PETI SURAT 167,BEAUFORT,89808,087227005,TIADA
11,SABAH,PPD BEAUFORT,Kebangsaan,XBA6014,SK. KEBATU,"PETI SURAT 163,",BEAUFORT,89808,6087212518,087212518
12,SABAH,PPD BEAUFORT,Kebangsaan,XBA6015,SK KEBULU,PETI SURAT 267,BEAUFORT,89808,087208449,TIADA
13,SABAH,PPD BEAUFORT,Kebangsaan,XBA6017,SK BIAH BATU 65,PETI SURAT 102,BEAUFORT,89807,087887294,TIADA
14,SABAH,PPD BEAUFORT,Kebangsaan,XBA6019,SK KEPAWA,"SK. KEPAWA, JLN KAMPUNG KEPAWA, PETI SURAT 77,",BEAUFORT,89807,087221980,TIADA
15,SABAH,PPD BEAUFORT,Kebangsaan,XBA6020,SK KOTA KLIAS,"PETI SURAT 201,",BEAUFORT,89808,087881170,087881170
16,SABAH,PPD BEAUFORT,Kebangsaan,XBA6022,SK KLIAS BARU,PETI SURAT 159,BEAUFORT,89807,087212601,087212601
17,SABAH,PPD BEAUFORT,Kebangsaan,XBA6023,SK KLIAS KECIL,PETI SURAT 191,BEAUFORT,89808,087881144,087881144
18,SABAH,PPD BEAUFORT,Kebangsaan,XBA6025,SK KUKURO,PETI SURAT 236,BEAUFORT,89807,TIADA,TIADA
19,SABAH,PPD BEAUFORT,Kebangsaan,XBA6028,SK LAGO,PETI SURAT 240,BEAUFORT,89808,TIADA,TIADA
20,SABAH,PPD BEAUFORT,Kebangsaan,XBA6031,SK LINGKUNGAN,PETI SURAT 346,BEAUFORT,89808,087-871329,TIADA
21,SABAH,PPD BEAUFORT,Kebangsaan,XBA6032,SK LUAGAN,SK.LUAGAN BEAUFORT. PETI SURAT 156,BEAUFORT,89807,087213671,087213671
22,SABAH,PPD BEAUFORT,Kebangsaan,XBA6033,SK LUBOK,PETI SURAT 395,BEAUFORT,89808,087871281,087871281
23,SABAH,PPD BEAUFORT,Kebangsaan,XBA6034,SK LUMAT,PETI SURAT 146,BEAUFORT,89807,087213394,TIADA
24,SABAH,PPD BEAUFORT,Kebangsaan,XBA6035,SK LADANG-LUMADAN,PETI SURAT 394,BEAUFORT,89808,087224142,TIADA
25,SABAH,PPD BEAUFORT,Kebangsaan,XBA6036,SK LUPAK,"PETI SURAT 83,",BEAUFORT,89807,087-214990,087-214990
26,SABAH,PPD BEAUFORT,Kebangsaan,XBA6037,SK MARABA,"SK MARABA, PETI SURAT 203",BEAUFORT,89808,087871235,087871235
27,SABAH,PPD BEAUFORT,Kebangsaan,XBA6040,SK MEMPAGAR,PETI SURAT 85,BEAUFORT,89807,087211113,087211113
28,SABAH,PPD BEAUFORT,Kebangsaan,XBA6041,SK BATU 60,PETI SURAT 96,BEAUFORT,89807,6087211421,TIADA
29,SABAH,PPD BEAUFORT,Kebangsaan,XBA6042,SK NUKAHAN,"KG. NUKAHAN, JALAN BEAUFORT - MENUMBOK",BEAUFORT,89808,087208004,TIADA
30,SABAH,PPD BEAUFORT,Kebangsaan,XBA6043,SK PADAS DAMIT,PETI SURAT 183,BEAUFORT,89808,TIADA,TIADA
