BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,SARAWAK,PPD BARAM,SM Kebangsaan,YEA4301,SMK TEMENGGONG DATUK LAWAI JAU,CDT 87 PEJABAT POS MIRI,MIRI,98009,0138348381,TIADA
2,SARAWAK,PPD BARAM,SM Kebangsaan,YEA4304,SMK TUTOH APOH,KAMPUNG LONG PANAI,BARAM,98050,0198854649,085756893
3,SARAWAK,PPD BARAM,SM Kebangsaan,YEA4305,SMK TELANG USAN,MARUDI,BARAM,98050,085756157,085756135
4,SARAWAK,PPD BARAM,SM Kebangsaan,YEA4306,SMK TINJAR,SMK TINJAR D/A PPD BARAM,MARUDI,98050,0198868422,""
5,SARAWAK,PPD BARAM,SM Kebangsaan,YEB4301,SMK MARUDI,SMK MARUDI,BARAM,98050,085755435,085755034
6,SARAWAK,PPD BARAM,SM Kebangsaan,YEB4302,SMK LONG LAMA,JALAN MAWAR,LONG LAMA,98300,085771278,085771089
7,SARAWAK,PPD BARAM,SM Kebangsaan,YEB4303,SMK BARIO,"DATARAN TINGGI KELABIT,BARIO.",MARUDI,98050,0148820801,TIADA
8,SARAWAK,PPD BAU,SM Kebangsaan,YEA1101,SMK PAKU (S),KM 30 JLN KUCHING-BAU,BAU,94000,082699518,082699814
9,SARAWAK,PPD BAU,SM Kebangsaan,YEB1102,SMK LAKE,JLN BIDI-KROKONG,BAU,94000,082763148,082764558
10,SARAWAK,PPD BAU,SM Kebangsaan,YEE1101,SMK BAU,JALAN  SEBUKU,BAU,94000,082763117,082763901
11,SARAWAK,PPD BELAGA,SM Kebangsaan,YEA7102,SMK BAKUN,D/A PPD BELAGA,BELAGA,96900,TIADA,TIADA
12,SARAWAK,PPD BELAGA,SM Kebangsaan,YEE7201,SMK BELAGA,JALAN TAMAN TIPUNG TULUI,BELAGA,96900,086461445,086461485
13,SARAWAK,PPD BETONG,Kolej,YHA2401,KOLEJ VOKASIONAL BETONG,"KM 8, JALAN BETONG-SRI AMAN",BETONG,95700,083472160,083472729
14,SARAWAK,PPD BETONG,SM Kebangsaan,YEA2401,SMK PUSA,"KM1, JLN BESAR PUSA",PUSA,94950,083465133,083465470
15,SARAWAK,PPD BETONG,SM Kebangsaan,YEA2402,SMK SPAOH,JALAN KAMPUNG SPAOH,SPAOH,95600,083473399,083473454
16,SARAWAK,PPD BETONG,SM Kebangsaan,YEA2403,SMK ULU LAYAR,"P.O BOX 16,PEJABAT POS BETONG",BETONG,95700,083471598,083471593
17,SARAWAK,PPD BETONG,SM Kebangsaan,YEA2404,SMK BELADIN,D/A PEJABAT PELAJARAN DAERAH BETONG,BETONG,95700,083466870,083466911
18,SARAWAK,PPD BETONG,SM Kebangsaan,YEE2401,SMK SARIBAS,PEKAN DEBAK,DEBAK,95500,083464109,083464050
19,SARAWAK,PPD BETONG,SM Kebangsaan,YEE2402,SMK DATUK PATINGGI KEDIT,KM 7.2 JALAN BETONG/KUCHING,BETONG,95700,083472018,083471620
20,SARAWAK,PPD BETONG,SM Kebangsaan,YFB2401,SMK ST. AUGUSTINE (M),JALAN DATUK BASIL TEMENGGONG,BETONG,95700,083472122,083471653
21,SARAWAK,PPD BINTULU,Kolej,YKE9101,KOLEJ VOKASIONAL BINTULU,"KM. 12, JALAN TANJUNG KIDURONG",BINTULU,97000,086251436,086253136
22,SARAWAK,PPD BINTULU,SM Kebangsaan,YEA9101,SMK BANDAR BINTULU,"PETI SURAT 607, BINTULU",BINTULU,97008,6086332615,"6086313851"
23,SARAWAK,PPD BINTULU,SM Kebangsaan,YEA9102,SMK BARU BINTULU,"JALAN KEMUNTING, PETI SURAT 1547",BINTULU,97010,086334529,086334540
24,SARAWAK,PPD BINTULU,SM Kebangsaan,YEA9103,SMK KIDURONG,PETI SURAT 2078,BINTULU,97011,086254225,086254228
25,SARAWAK,PPD BINTULU,SM Kebangsaan,YEA9104,SMK ASYAKIRIN,"D/A, PEJABAT PELAJARAN DAERAH BINTULU.",BINTULU,97000,086255592,086254398
26,SARAWAK,PPD BINTULU,SM Kebangsaan,YEA9105,SMK KEMENA,"LOT 830, BLOK 37, KEMENA LAND DISTRICT",BINTULU,97000,086201013,086201016
27,SARAWAK,PPD BINTULU,SM Kebangsaan,YEE9103,SMK BINTULU,"KM 5 JALAN SULTAN ISKANDAR, P.O.BOX 97, BINTULU",BINTULU,97007,086331217,086317518
28,SARAWAK,PPD DALAT,SM Kebangsaan,YEA3202,SMK BATANG IGAN,D/A PEJABAT PELAJARAN DAERAH DALAT,DALAT,96300,084862925,TIADA
29,SARAWAK,PPD DALAT,SM Kebangsaan,YEA3501,SMK OYA,D/A PEJABAT PELAJARAN DAERAH DALAT,DALAT,96300,084867885,084867433
30,SARAWAK,PPD DALAT,SM Kebangsaan,YEE3501,SMK DALAT,PEJABAT PELAJARAN DAERAH DALAT,DALAT,63000,084864253,084863251
31,SARAWAK,PPD DALAT,SMK Agama,YRA3201,SMK AGAMA IGAN,"D/A PEJABAT PELAJARAN DAERAH DALAT,",DALAT,96300,084840385,084840351
32,SARAWAK,PPD DARO,SM Kebangsaan,YEA6101,SMK BELAWAI,"KPG. JERIJEH BARU,",BELAWAI,96150,084613268,084613430
33,SARAWAK,PPD DARO,SM Kebangsaan,YEE6401,SMK MATU,D/A PEJABAT PELAJARAN DAERAH DARO,DARO,96200,084832216,084832216
34,SARAWAK,PPD DARO,SM Kebangsaan,YEE6402,SMK TOH PUAN DATUK PATINGGI HJH NORMAH,D/A PEJABAT PELAJARAN DAERAH DARO,DARO,96200,084823262,084823972
35,SARAWAK,PPD JULAU,SM Kebangsaan,YEA6201,SMK PAKAN,BATU 1 JALAN ENTABAI/PAKAN,PAKAN,96510,084719027,084719071
36,SARAWAK,PPD JULAU,SM Kebangsaan,YEA6202,SMK JULAU NO.2,"LOT.353, BLOK 3, JIKANG LAND DISTRICT, JULAU",JULAU,96600,084734060,084734061
37,SARAWAK,PPD JULAU,SM Kebangsaan,YEB6201,SMK JULAU,"LOT 353, BLOK D, JIKANG LAND DISTRICT",JULAU,96600,084734266,"084-734763"
38,SARAWAK,PPD KANOWIT,SM Kebangsaan,YEA3302,SMK KANOWIT,JALAN DURIN KANOWIT SIBU,KANOWIT,96700,084752152,084753700
39,SARAWAK,PPD KANOWIT,SM Kebangsaan,YEA3303,SMK NANGA DAP,d/a Pejabat Pelajaran Daerah Kanowit,Kanowit,96700,084755191,084755002
40,SARAWAK,PPD KANOWIT,SM Kebangsaan,YEB3301,SMK DATUK HAJI ABDUL RAHMAN YAKUB,"KM72, JLN. NIBONG TADA",KANOWIT,96700,084755707,084755145
41,SARAWAK,PPD KAPIT,SM Kebangsaan,YEA7101,SMK BALLEH,"NANGA GAAT, PETI SURAT 175",KAPIT,96807,0128071018,TIADA
42,SARAWAK,PPD KAPIT,SM Kebangsaan,YEA7103,SMK KAPIT NO.2,"PETI SURAT 117, JALAN BLETEH",KAPIT,96807,084796071,084796072
43,SARAWAK,PPD KAPIT,SM Kebangsaan,YEE7101,SMK KAPIT,PETI SURAT NO.39,KAPIT,96807,084796288,084797388
44,SARAWAK,PPD KAPIT,SM Kebangsaan,YEE7102,SMK SELIRIK,"JALAN SELIRIK, PETI SURAT 97",KAPIT,96807,084796233,084796434
45,SARAWAK,PPD KUCHING,Kolej,YHA1201,KOLEJ VOKASIONAL KUCHING,"JALAN KOLEJ,BATU LINTANG",KUCHING,93200,082420814,082231576
46,SARAWAK,PPD KUCHING,Sekolah Seni,YEA1210,SEKOLAH SENI KUCHING,"JALAN DEMAK, PETRA JAYA,",KUCHING,93050,082449586,082449605
47,SARAWAK,PPD KUCHING,SM agama,YRA1303,SMK AGAMA TUN AHMAD ZAIDI,JALAN SULTAN TENGAH,KUCHING,93050,082312578,082445397
48,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1201,SMK D P H ABDUL GAPOR (INTEG),"LORONG STAMPIN 23, JALAN STAMPIN",KUCHING,93350,082451130,082571877
49,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1202,SEKOLAH MENENGAH KEBANGSAAN SERI SETIA,"JALAN SETIA RAJA, KUCHING",KUCHING,93350,082362325,082362670
50,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1204,SMK TABUAN JAYA,JALAN WAN ALWI,KUCHING,93350,082364936,082362182
51,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1205,SMK BAKO,JALAN BAKO,KUCHING,93050,082432251,082383218
52,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1207,SMK DEMAK BARU,"JALAN DIPLOMATIK,OFF JALAN BAKO",KUCHING,93050,082311670,082312721
53,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1209,SMK BANDAR SAMARIANG,JALAN SULTAN TENGAH PETRA JAYA,KUCHING,93050,082311072,082313270
54,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1301,SMK PETRA JAYA,"JALAN SEMARAK, PETRA JAYA",KUCHING,93050,082254824,082242507
55,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1303,SMK TUNKU ABDUL RAHMAN,BT. 2 1/2  JALAN MATANG,KUCHING,93050,082240688,082248580
56,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1305,SMK SANTUBONG,"JALAN PANTAI PUTERI, SANTUBONG",KUCHING,93050,082846227,082846227
57,SARAWAK,PPD KUCHING,SM Kebangsaan,YEA1309,SMK SEMERAH PADI,"JALAN DEPO, PETRA JAYA",KUCHING,93050,082441403,082441468
58,SARAWAK,PPD KUCHING,SM Kebangsaan,YEB1201,SMK GREEN ROAD,"LEBUH SOCKALINGAM, JALAN GREEN,",KUCHING,93150,082243541,082239343
59,SARAWAK,PPD KUCHING,SM Kebangsaan,YEB1202,SMK BANDAR KUCHING NO.1,"JLN CHONG KIUN KONG, KENYALANG PARK",KUCHING,93300,082245957,082410113
60,SARAWAK,PPD KUCHING,SM Kebangsaan,YEB1303,KOLEJ D PATINGGI ABANG HJ ABDILLAH,"LORONG 1, SIOL KANDIS, PETRA JAYA",KUCHING,93050,082440635,082449872
61,SARAWAK,PPD KUCHING,SM Kebangsaan,YEE1201,SMK PENDING,"JALAN TUN RAZAK ,",KUCHING,93450,082331210,082343441
62,SARAWAK,PPD KUCHING,SM Kebangsaan,YEE1204,SMK BATU LINTANG,JALAN COLLEGE,KUCHING,93200,082254579,082240116
63,SARAWAK,PPD KUCHING,SM Kebangsaan,YEE1205,SMK PADUNGAN,JLN TAN SRI DATUK WILLIAM TAN,KUCHING,93450,082333526,082348402
64,SARAWAK,PPD KUCHING,SM Kebangsaan,YEE1301,SMK TUN ABANG HJ OPENG,"JALAN DEMAK, PETRA JAYA,",KUCHING,93050,082447540,082443978
65,SARAWAK,PPD KUCHING,SM Kebangsaan,YFB1201,SMK TINGGI KUCHING,JALAN MATHIE,KUCHING,93100,082247266,082246643
66,SARAWAK,PPD KUCHING,SM Kebangsaan,YFB1202,SMK ST JOSEPH (M),JLN TUN ABANG HJ OPENG,KUCHING,93000,082240885,082245151
67,SARAWAK,PPD KUCHING,SM Kebangsaan,YFB1203,SMK ST TERESA,JLN. TUN ABG. HJ. OPENG,KUCHING,93000,082244598,082417311
68,SARAWAK,PPD KUCHING,SM Kebangsaan,YFB1204,SMK ST THOMAS (M),"JALAN MCDOUGALL, KUCHING",KUCHING,93000,082242539,082250328
69,SARAWAK,PPD KUCHING,SM Kebangsaan,YFB1205,SMK ST MARY (M),JALAN MCDOUGALL,KUCHING,93000,082242689,082245772
70,SARAWAK,PPD KUCHING,SM Teknik,YKA1202,SMT SEJINGKAT,"P O BOX A1062, PEJABAT POS KENYALANG PARK",KUCHING,93307,082432057,082432055
71,SARAWAK,PPD LAWAS,SM Kebangsaan,YEA5201,SMK SUNDAR,PEKAN SUNDAR,LAWAS,98800,085264254,085264885
72,SARAWAK,PPD LAWAS,SM Kebangsaan,YEA5202,SMK MERAPOK,KM 30 JALAN MERAPOK,LAWAS,98850,087812612,087812948
73,SARAWAK,PPD LAWAS,SM Kebangsaan,YEB5202,SMK TRUSAN,JALAN TRUSAN,LAWAS,98850,085282252,085282357
74,SARAWAK,PPD LAWAS,SM Kebangsaan,YEE5201,SMK LAWAS,"KM.1.5, JALAN TRUSAN",LAWAS,98850,085285325,085285592
75,SARAWAK,PPD LIMBANG,SM Kebangsaan,YEA5101,SMK SERI PATIAMBUN LIMBANG,PETI SURAT 317,LIMBANG,98707,085212630,085214122
76,SARAWAK,PPD LIMBANG,SM Kebangsaan,YEA5102,SMK KUBONG,"BUKIT EMPAS, BATU 2, JALAN KUBONG",LIMBANG,98700,085216602,085213250
77,SARAWAK,PPD LIMBANG,SM Kebangsaan,YEB5101,SMK MEDAMIT,PETI SURAT 341,LIMBANG,98708,085238027,085238034
78,SARAWAK,PPD LIMBANG,SM Kebangsaan,YEE5101,SMK LIMBANG,PETI SURAT 304,LIMBANG,98700,085211341,085211341
79,SARAWAK,PPD LIMBANG,SMK Agama,YRA5101,SMKA LIMBANG,"KM 11.7, JALAN PANDARUAN, PETI SURAT 493",LIMBANG,98700,085666212,085666536
80,SARAWAK,"PPD LUBOK ANTU",SM Kebangsaan,YEB2301,SMK LUBOK ANTU,JALAN BATU KAYA,LUBOK ANTU,95900,083584135,083584643
81,SARAWAK,"PPD LUBOK ANTU",SM Kebangsaan,YEE2301,SMK ENGKILILI,"KM 3, ENGKILILI",ENGKILILI,95800,083563020,083563092
82,SARAWAK,PPD LUNDU,SM Kebangsaan,YEA1401,SMK SEMATAN,D/O PEJABAT PELAJARAN DAERAH LUNDU,SEMATAN,94500,082711143,082711044
83,SARAWAK,PPD LUNDU,SM Kebangsaan,YEE1401,SMK LUNDU,"KM2, JALAN LUNDU/PANDAN",LUNDU,94500,082735252,082734659
84,SARAWAK,"PPD MARADONG",SM Kebangsaan,YEA6301,SMK BANDAR BINTANGOR,"KM 4, JALAN KELUPU",BINTANGOR,96500,084693607,084693293
85,SARAWAK,"PPD MARADONG",SM Kebangsaan,YEE6301,SMK MERADONG,JALAN KANOWIT-JULAU-DURIN,BINTANGOR,96509,084691911,084691669
86,SARAWAK,"PPD MARADONG",SM Kebangsaan,YFB6301,SMK KAI CHUNG (CF),PETI SURAT 100,BINTANGOR,96507,084693252,084691311
87,SARAWAK,"PPD MARADONG",SM Kebangsaan,YFB6302,SMK TONG HUA (CF),"D/A PEJABAT PENDIDIKAN DAERAH MERADONG",BINTANGOR,96500,0198596302,"0198594082"
88,SARAWAK,PPD MIRI,Kolej,YHA4101,KOLEJ VOKASIONAL MIRI,"LORONG 10, JLN JEE FOH, KROKOP",MIRI,98000,085431121,085413121
89,SARAWAK,PPD MIRI,"SM Berasrama Penuh",YEA4104,SM SAINS,JALAN BAKAM,MIRI,98000,085421371,085411050
90,SARAWAK,PPD MIRI,SM Kebangsaan,YEA4101,SMK DATO PERMAISURI,"JALAN DATO PERMAISURI, PIASAU JAYA,",MIRI,98000,085659066,085660812
91,SARAWAK,PPD MIRI,SM Kebangsaan,YEA4102,SMK BARU,JALAN CAHAYA LOPENG,MIRI,98000,085431707,085428057
92,SARAWAK,PPD MIRI,SM Kebangsaan,YEA4103,SMK LUAK,"LOT 4875, JLN. KPG. LUAK 3,",MIRI,98000,085427760,085430760
93,SARAWAK,PPD MIRI,SM Kebangsaan,YEA4105,SMK RIAM,"JALAN SIBU,TAMAN TUNKU",MIRI,98000,085615033,085615033
94,SARAWAK,PPD MIRI,SM Kebangsaan,YEA4106,SMK LOPENG TENGAH,JALAN RIAM,MIRI,98000,085423905,085426129
