BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,TERENGGANU,PPD BESUT,Jenis Kebangsaan (C),TBC0063,SJK(C) CHUNG HWA,SIMPANG TIGA,JERTEH,22000,096971632,096971632
2,TERENGGANU,PPD BESUT,Kebangsaan,TBA0001,SK KAMPONG RAJA,"KAMPONG RAJA, BESUT TERENGGANU",BESUT,22200,096956794,096957714
3,TERENGGANU,PPD BESUT,Kebangsaan,TBA0002,SK AMER,KG AMER,BESUT,22200,096958743,096958743
4,TERENGGANU,PPD BESUT,Kebangsaan,TBA0003,SK ALOR LINTAH,KG ALOR LINTAH,JERTEH,22000,096971215,096976190
5,TERENGGANU,PPD BESUT,Kebangsaan,TBA0004,SK KERANDANG,KG TANAH MERAH,JERTEH,22000,096920103,096920109
6,TERENGGANU,PPD BESUT,Kebangsaan,TBA0005,SK KUALA BESUT,JALAN BESAR,BESUT,22300,0096919382,0096919382
7,TERENGGANU,PPD BESUT,Kebangsaan,TBA0006,SK TEMBILA,SEK.KEB. TEMBILA,BESUT,22200,096950937,096950937
8,TERENGGANU,PPD BESUT,Kebangsaan,TBA0007,SK KAMPUNG NANGKA,KAMPUNG NANGKA,KAMPONG RAJA,22300,096918870,096918870
9,TERENGGANU,PPD BESUT,Kebangsaan,TBA0008,SK PULAU PERHENTIAN,PEJABAT POS KUALA BESUT,KUALA BESUT,22300,096911822,096911821
10,TERENGGANU,PPD BESUT,Kebangsaan,TBA0012,SK BETING LINTANG,KG BETING LINTANG,BESUT,22200,096920130,096920120
11,TERENGGANU,PPD BESUT,Kebangsaan,TBA0013,SK GONG BAYOR,KAMPUNG GONG BAYOR,BESUT,22200,096920050,096959481
12,TERENGGANU,PPD BESUT,Kebangsaan,TBA0014,SK KELUANG,KAMPUNG  KELUANG,BESUT,22200,096957223,096957223
13,TERENGGANU,PPD BESUT,Kebangsaan,TBA0015,SK BUKIT TEMPURONG,KG TASIK MENGKUANG,JERTEH,22000,096943148,096943148
14,TERENGGANU,PPD BESUT,Kebangsaan,TBA0017,SK KAMPUNG BAHARU,KAMPUNG BAHARU,KUALA BESUT,22300,096910678,096910678
15,TERENGGANU,PPD BESUT,Kebangsaan,TBA0018,SK ALOR PEROI,KG ALOR PEROI,KUALA BESUT,22300,096910318,096910318
16,TERENGGANU,PPD BESUT,Kebangsaan,TBA0019,SK TOK RAJA,KG TOK RAJA,JERTEH,22000,096920027,TIADA
