BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,WP LABUAN,JPWP LABUAN,Kolej,WHA1099,KOLEJ VOKASIONAL LABUAN,PETI SURAT 80276,LABUAN,87013,087461970,087461820
2,WP LABUAN,JPWP LABUAN,SM Berasrama Penuh,WEA1001,SM SAINS LABUAN (SMSL),PETI SURAT 82206,W.P LABUAN,87032,087461525,087462835
3,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WEA1002,SMK. LAJAU,"PETI SURAT 81514,",W.P. LABUAN,87025,087462995,087462463
4,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WEA1003,SMK. TAMAN PERUMAHAN BEDAUN,"PETI SURAT 81841,",W.P LABUAN,87028,087468679,087468902
5,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WEA1004,SMK PANTAI,"PETI SURAT 81755, JALAN POHON BATU",W.P. LABUAN,87027,087410863,087411454
6,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WEA1005,SEKOLAH MENENGAH KEBANGSAAN RANCHA-RANCHA,"PETI SURAT 82265,",LABUAN,87032,087461061,""
7,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WEE1011,SMK LABUAN,PETI SURAT 81094,LABUAN,87021,087412450,087421301
8,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WEE1015,SMK MUTIARA,PETI  SURAT 81367,W.P.LABUAN,87027,087412532,087422581
9,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WFE1019,SM ST ANNE (M),PETI  SURAT 81072,W.P. LABUAN,87020,087-412955,087-419340
10,WP LABUAN,JPWP LABUAN,SM Kebangsaan,WFE1022,SM ST ANTHONY (M),PETI SURAT 81395,W.P LABUAN,87023,087-412985,087-422519
