BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,WP KUALA LUMPUR,PPW BANGSAR PUDU,Sekolah Seni,WEA0258,SEKOLAH SENI MALAYSIA KUALA LUMPUR,"D/A SMK SHAH ALAM,PERSIARAN ANJUNG SERI,U8/80 BUKIT JELUTONG TIMUR",SHAH ALAM,40150,0129339484,""
2,WP KUALA LUMPUR,PPW BANGSAR PUDU,Sekolah Sukan,WEA0230,SEKOLAH SUKAN BUKIT JALIL,KOMPLEKS SUKAN NEGARA,KUALA LUMPUR,57000,0390587335,0390587153
3,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM agama,WFT0001,"SMA MAJLIS AGAMA ISLAM WILAYAH PERSEKUTUAN","NO.2 JALAN SRI PERMAISURI,",CHERAS,56000,0391713661,0391712661
4,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Berasrama Penuh,WEA0206,SM SAINS SELANGOR,"JALAN YAAKOB LATIFF,",KUALA LUMPUR,56000,0391316093,0391300346
5,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Berasrama Penuh,WEA0247,SM SAINS ALAM SHAH,"JALAN YAACOB LATIF, BANDAR TUN RAZAK",KUALA LUMPUR,56000,0391315014,0391318119
6,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0195,SMK SUNGAI BESI,SUNGAI BESI,KUALA LUMPUR,57000,0390570334,0390575645
7,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0196,SMK AMINUDDIN BAKI,JALAN KAMPUNG PANDAN,KUALA LUMPUR,55100,0392858219,0392811905
8,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0198,SMK PUTERIJAYA,JALAN PASAR PUDU,KUALA LUMPUR,55100,0392212494,0392228642
9,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0201,SMK PETALING,"BATU 6 JALAN KELANG LAMA,",KUALA LUMPUR,46000,0377829153,0377849961
10,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0210,SMK TAMAN TUN DR. ISMAIL,"JALAN LEONG YEW KOH, TAMAN TUN DR. ISMAIL",KUALA LUMPUR,60000,0377286993,0377267540
11,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0212,SMK TAMAN DESA,"JALAN DESA BAKTI, OFF JALAN KLANG LAMA",KUALA LUMPUR,58100,0379823058,0379847314
12,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0213,SMK BUKIT BANDARAYA,"LORONG MAAROF, BANGSAR,",KUALA LUMPUR,59000,0320953645,0320951690
13,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0216,SMK TAMAN CONNAUGHT,"JALAN AHLIMAN, TAMAN CONNAUGHT",KUALA LUMPUR,56000,0391309049,0391328527
14,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0218,SMK BANDAR BARU SERI PETALING,JALAN RADIN,KUALA LUMPUR,57000,0390573732,0390588472
15,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0219,SMK TAMAN YARL,"LORONG AWAN CINA, TAMAN YARL",KUALA LUMPUR,58200,0379834552,0379812092
16,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0220,SMK SERI HARTAMAS,"JLN 48/70A, DESA SERI HARTAMAS",KUALA LUMPUR,50480,0362030048,0362030096
17,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0222,SMK BANDAR TUN RAZAK,"JALAN JAYA, BANDAR TUN RAZAK",KUALA LUMPUR,56000,0391314375,0391335614
18,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0223,SMK DESA PERDANA,"JALAN DESA UTAMA, TAMAN DESA",KUALA LUMPUR,58100,0379803603,0379814373
19,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0233,SMK BANDAR TASIK SELATAN,"JALAN 21/146, BANDAR TASIK SELATAN",KUALA LUMPUR,57000,0391734288,0391738588
20,WP KUALA LUMPUR,PPW BANGSAR PUDU,SM Kebangsaan,WEA0237,SMK SERI SAUJANA,"JALAN MESRA RIA, BANDAR BARU SERI PETALING",KUALA LUMPUR,57000,0390565755,0390565754
