NAMA,ALAMAT1,ALAMAT2,ALAMAT3,ALAMAT4,TELEFON,FAKS
Hospital Alor Gajah,"Pejabat Hospital, Hospital Alor Gajah","Alor Gajah, Melaka",78000 Alor Gajah,Melaka,06-5562333,06-5567392
Hospital Ampang,Jalan Mewah Utara,"Ampang, Selangor",68000 Ampang,Selangor,03-42896000,03-42954666
Hospital Bahagia Ulu Kinta,Tanjong Rambutan,"Ulu Kinta, Perak",31250 Ulu Kinta,Perak,05-5332333,05-5331350
Hospital Balik Pulau,Balik Pulau,"Balik Pulau, Pulau Pinang",11000 Balik Pulau,Pulau Pinang,04-8669333,04-8666058
Hospital Baling,Jala Hospital,"Baling, Kedah",09100 Baling,Kedah,04-4701333,04-4701160
Hospital Banting,Jalan Sultan Alam Shah,"Banting, Selangor",42700 Banting,Selangor,03-31871333,03- 31871153
Hospital Batu Gajah,Jalan Changkat,"Batu Gajah, Perak",31000 Batu Gajah,Perak,05-3663333,05-3663851
Hospital Bau,"Batu 1 ½,  Jalan Bau-Lundu","Bau, Sarawak",94000 Bau,Sarawak,082-763711,082-763716
Hospital Beaufort,Peti Surat 40,"Beaufort, Sabah",89807 Beaufort,Sabah,087-212333,087-211725
Hospital Beluran,Karung Berkunci No : 02,"Beluran, Sabah",90109 Beluran,Sabah,089-511233/333,089-511242
Hospital Bentong,28700 Bentong,"Bentong, Pahang",28700 Bentong,Pahang,09-2223333,09-2224494
Hospital Besut,"Jalan Pasir Akar, Jerteh","Besut, Terengganu",22000 Besut,Terengganu,09-6971130/09-6971200,09-6972762
Hospital Betong,Jalan Betong,"Betong, Sarawak",95707 Betong,Sarawak,083-472821,083-472664
Hospital Bintulu,Jalan Nyabau,"Bintulu, Sarawak",97000 Bintulu,Sarawak,086-255899,086-255866
Hospital Bukit Mertajam,"Jalan Kulim, Bukit Mertajam","Bukit Mertajam, Pulau Pinang",14000 Bukit Mertajam,Pulau Pinang,04-5497333,04-5497299
Hospital Changkat Melintang,"Lambor Kanan,Parit","Bota, Perak",32900 Bota,Perak,05-3761333,05-3761400
Hospital Dalat,Jalan Oya-Dalat,"Dalat, Sarawak",96300 Dalat,Sarawak,084-863213,084-863058
Hospital Daro,Jalan Itol,"Daro, Sarawak",96200 Daro,Sarawak,084-823620,084-823624
Hospital Duchess Of Kent,"KM 3.2, Jalan Utara","Sandakan, Sabah",90000 Sandakan,Sabah,089-248 600                     Talian_Kecemasan:089-255 022,089-213 607                        Emel:hdok@moh.gov.my
Hospital Dungun,Hospital Dungun,"Dungun, Terengganu",23000 Dungun,Terengganu,09-8483333,09-8484160
"Hospital Enche' Besar Hajjah Kalsom, Kluang","KM 5, Jln Kota Tinggi","",86000 Kluang,Johor,07-7787000,07-7787128
Hospital Gerik,Jalan Intan,"Grik, Perak",33000 Grik,Perak,05-7911333,05- 7911945
Hospital Gua Musang,Bandar Baru,"Gua Musang, Kelantan",18300 Gua Musang,Kelantan,09-9121133,09-91212302
Hospital Hulu Terengganu,"Batu 23, Jalan Kuala Berang","Kuala Berang, Terengganu",21700 Kuala Berang,Terengganu,09-6813333/6813120,09-6813099
Hospital Jasin,77000 Jasin,"Jasin, Melaka",77000 Jasin,Melaka,06-5294262,06-5295262
Hospital Jelebu,71600 Jelebu,"Jelebu, Negeri Sembilan",71600 Jelebu,Negeri Sembilan,06-6136355,06-6137531
Hospital Jeli,17600 Jeli,"Jeli, Kelantan",17600 Jeli,Kelantan,09-9440092,09-9440068
Hospital Jempol,Bandar Seri Jempol,"Bandar Seri Jempol, Negeri Sembilan",72120 Bandar Seri Jempol,Negeri Sembilan,06-4592000,06-4581086
Hospital Jengka,26400 Bandar Jengka,"Maran, Pahang",26400 Maran,Pahang,09-4662333,09-4663215
Hospital Jerantut,27000 Jerantut,"Jerantut, Pahang",27000 Jerantut,Pahang,09-2663333,09-2661462
Hospital Jitra,"Jalan Changlun, Jitra Kedah","Jitra, Kedah",06000 Jitra,Kedah,04-9174333,04-9176346
Hospital Kajang,Jalan Semenyih,"Kajang, Selangor",43000 Kajang,Selangor,03-89133333,03-87367527
Hospital Kampar,Jalan Hospital,"Kampar, Perak",31500 Kampar,Perak,05-4653333,05-4655664
Hospital Kanowit,Jalan Kanowit/ Durin,"Kanowit, Sarawak",96700 Kanowit,Sarawak,084-752333,084-752682
Hospital Kapit,Jalan Memora,"Kapit, Sarawak",96800 Kapit,Sarawak,084-796333,084-798333
Hospital Kemaman,"Jalan Da' Omar, Cukai","Kemaman, Terengganu",24000 Kemaman,Terengganu,09-8513333,09-8595512
Hospital Keningau,Peti Surat 11,"Keningau, Sabah",89007 Keningau,Sabah,087-313000,087-331595
Hospital Kepala Batas,"Jalan Bertam, Kepala Batas","Kepala Batas, Pulau Pinang",13200 Kepala Batas,Pulau Pinang,04-5793333,04-5791088
Hospital Kinabatangan,W.D.T 200,"Kinabatangan, Sabah",90020 Kinabatangan,Sabah,089-561858,089-561854
Hospital Kota Belud,Peti Surat 159,"Kota Belud, Sabah",89158 Kota Belud,Sabah,088-976333,088-977492
Hospital Kota Marudu,Peti Surat 255,"Kota Marudu, Sabah",89108 Kota Marudu,Sabah,088-661984,088-663759
Hospital Kota Tinggi,Jalan Tun Habah,"Kota Tinggi, Johor",81900 Kota Tinggi,Johor,07-8831131/32,07-8831333
Hospital Kuala Kangsar,Jalan Sultan Idris Shah 1,"Kuala Kangsar, Perak",33000 Kuala Kangsar,Perak,05-7763333,05-7769660
Hospital Kuala Krai,Jalan Kota Bharu,"Kuala Krai, Kelantan",18000 Kuala Krai,Kelantan,09-9611300,09-9666076
Hospital Kuala Kubu Bharu,Jalan Hospital,"Kuala Kubu Bharu, Selangor",44000 Kuala Kubu Bharu,Selangor,03-60641333,03- 60643039
Hospital Kuala Lipis,27200 K.Lipis,"Kuala Lipis, Pahang",27200 Kuala Lipis,Pahang,09-3123333,09-3121787
Hospital Kuala Lumpur,Jalan Pahang,"Kuala Lumpur, WP Kuala Lumpur",50586 Kuala Lumpur,WP Kuala Lumpur,03-26155555,03-26989845
Hospital Kuala Nerang,Kuala Nerang,"Kuala Nerang, Kedah",06300 Kuala Nerang,Kedah,04-7867333,04-7867052
Hospital Kuala Penyu,W.D.T. 35,"Kuala Penyu, Sabah",89740 Kuala Penyu,Sabah,087-853100,087-884212
Hospital Kudat,Peti Surat 22,"Kudat, Sabah",89057 Kudat,Sabah,088-613333,088-611875
Hospital Kulim,"Jalan Mahang, Kulim","Kulim, Kedah",09000 Kulim,Kedah,04-4272733,04-4900760
Hospital Kunak,W.D.T. 150,"Kunak, Sabah",91209 Kunak,Sabah,089-894100,089-853285
Hospital Labuan,Peti Surat 81006,"Labuan, WP Labuan",87020 Labuan,WP Labuan,087-423922/ 423919, 087-423928
Hospital Lahad Datu,Peti Surat 60065,"Lahad Datu, Sabah",91110 Lahad Datu,Sabah,089-895111,089-884670
Hospital Langkawi,"Bukit Tekuh,Jalan Padang Maksirat","Langkawi, Kedah",07000 Langkawi,Kedah,04-9665333,04-9660121
Hospital Lawas,Jalan Hospital,"Lawas, Sarawak",98850 Lawas,Sarawak,085-283781,085-285993
Hospital Limbang,Jalan Pandaruan,"Limbang, Sarawak",98700 Limbang,Sarawak,085-211200,085-213294
Hospital Lundu,Jalan Sekambal,"Lundu, Sarawak",94500 Lundu,Sarawak,082-735311,082-735055
Hospital Machang,Jalan Pasir Puteh,"Machang, Kelantan",18500 Machang,Kelantan,09-9741300/301,09-9752470
Hospital Marudi,Jalan Pungor,"Marudi, Sarawak",98050 Marudi,Sarawak,085-755511,085-755217
Hospital Melaka,Jalan Mufti Haji Khalil,"Melaka, Melaka",75400 Melaka,Melaka,06-2892344,06-2841590
Hospital Mersing,Jalan Ismail,"Mersing, Johor",86800 Mersing,Johor,07-7993333,07-7994200
