JENIS,ALAMAT1,ALAMAT2,ALAMAT3,ALAMAT4,ALAMAT5,TELEFON,FAX,EMAIL
Ibu Pejabat Polis Daerah (IPD),,Batu Pahat,Polis Diraja Malaysia,"83000 Batu Pahat,",Johor,"07-4341222, 1225, 1229, 1230, 4222",07-4348171,kpdbpahat@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Jalan Rahmat,","83000 Batu Pahat,",Johor,07-4341222,Tiada,kpb_btpahat@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Km 21, Jalan Ismail,Senggarang,","3000 Batu Pahat,",Johor,07-4291222,Tiada,kpb_senggarang@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Km 124, Jalan Kluang,","83300 Batu Pahat,",Johor,07-4558222,Tiada,kpb_sgading@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Km22, Jalan Kluang,","86400 Batu Pahat,",Johor,07-4541222,Tiada,kpb_ptraja@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Km 0.5, Jalan Muar,","83700 Yong Peng,","Batu Pahat, Johor.",07-4671222,Tiada,kpb_yongpeng@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Km 0.5, Jalan Besar,","83400 Sri Medan,","Batu Pahat, Johor",07-4850222,Tiada,kpb_smedan@rmp.gov.my
Balai Polis,,"Km 19, Jalan Batu Pahat-Muar,","83600 Semerah,","Batu Pahat, Johor",,07-4161222,Tiada,kpb_semerah@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Km 1, Jalan Peserai Kecil, 83500 Parit Sulong,","Batu Pahat, Johor",,07-4186222,Tiada,kpb_ptsulong@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"Km 94, Jalan Yong Peng, Air Hitam, 86100 Air Hitam,","Batu Pahat, Johor",,07-7581222,Tiada,kpb_airhitamjhr@rmp.gov.my
Balai Polis,,,,,,07-4241222,Tiada,kpb_rengit@rmp.gov.my
Balai Polis,,"Polis Diraja Malaysia,","KM 8, Jalan Besar, Tongkang Pecah","83000 Batu Pahat, Johor",,07-4151222,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Km 11 Jalan Minyak Beku,","83000 Batu Pahat,",Johor,07-4287930,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Km 4, Jalan Peserai,","83000 Batu Pahat,",Johor,07-4138993,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Km 16, Jalan Tanjung Labuh,","83200 Senggarang, Batu Pahat,",Johor.,07-4291293,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"JKR 2173,","83700 Yong Peng,","Batu Pahat, Johor",07-4846222,Tiada,kpb_yongpeng@rmp.gov.my
Pondok Polis,,Polis Diraja Malaysia,"Km 12, Jalan Peserai Kecil,","83020 Batu Pahat, Johor",,07-418766,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Kg.Sri Merlong Km 12,","83100 Rengit, Batu Pahat,",Johor,07-4259792,Tiada,Tiada
Ibu Pejabat Polis Daerah (IPD),,,,,,07-2232222,07-2246925,kpdjbs@rmp.gov.my
Balai Polis,,,,,,07-2232222-27,Tiada,kpb_centraljhr@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"JKR No.4920, Jalan Matahari,","81750 Masai,","Johor Bahru,",07-3873122,Tiada,Tiada
Balai Polis,,"JKR No.4506, Jalan Geruda,","80350 Larkin, Johor Bahru,",Johor.,,07-2241222,Tiada,kpb_larkin@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"JKR No.4335, Bt. 5 1/2,","Jalan Tebrau, Majidee,","81100 Johor Bahru,",07-3332222,Tiada,kpb_majidee@rmp.gov.my
Balai Polis,,Polis Diraja Malaysia,"JKR No.4934, Jalan Meranti,","81550 Gelang Patah,","Johor Bahru, Johor",07-510122,Tiada,kpb_abemban@rmp.gov.my
Balai Polis,,"Polis Diraja Malaysia,","Jalan Bukit Chagar,","80300 Johor Bahru, Johor.",,07-2221722,Tiada,Tiada
Balai Polis,,"Polis Diraja Malaysia,","Bt 4 1/2 Jalan Skudai,","80200 Johor Bahru, Johor.",,07-2359122,Tiada,Tiada
Balai Polis,,,,,,07-8615422,Tiada,Tiada
Balai Polis,,"Polis Diraja Malaysia,","G/09 Blok A3 Jln Permas Utara,","Bandar Baru Permas Jaya,",81750 Masai Johor.,07-3864522,Tiada,Tiada
Balai Polis,,,,,,07-3515422,Tiada,Tiada
Balai Polis,,"Polis Diraja Malaysia,","80000 Johor Bahru, Johor.",,,07-3357122,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Kampung Pandan,","81100 Pandan,","Johor Bahru,",07-3541222,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Jalan Datuk Sulaiman,","Off Jalan Balau,Taman Centuary,","Johor Bahru, Johor",Tiada,Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Tambak Johor,","80000, Johor Bahru,",Johor,07-2232222 (244),Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"Kompleks Lien Hoe,","Jalan Sutera, Taman Sentosa,","80125 Johor Bahru,",07-2232222 (246),Tiada,Tiada
Pondok Polis,,Polis Diraja Malaysia,"No.148, Jalan Serampang,","Taman Pelangi,","80400, Johor Bahru,",07-3352317 (20),Tiada),Tiada
Pondok Polis,,Polis Diraja Malaysia,80000 Johor Bahru,Johor,,07-2233490,TIADA,kpb_centraljhr@rmp.gov.my
