BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,KEDAH,PPD BALING/SIK,SM agama,KFT0001,SM AGAMA IRSYADIAH,"KG. PONDOK AMPANG, JENERI",SIK,08320,044620726,044620726
2,KEDAH,PPD BALING/SIK,SM agama,KFT8001,SM AGAMA (ARAB) ANNAJAH,"TITI GANTONG, KG SUNGAI LIMAU",BALING,09100,044721046,044721044
3,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0035,SMK BALING,JALAN KULIM BALING,BALING,09100,044701218,044702577
4,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0036,SMK SIONG,"KAMPUNG LALANG, JALAN WENG",BALING,09100,044731761,044732348
5,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0064,SMK TELOI KANAN,FELDA TELOI KANAN,KUALA KETIL,09300,044193882,044192605
6,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0065,SMK TANJONG PUTERI,JALAN BALING,KUALA KETIL,09300,044163853,044163853
7,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0067,SMK JERAI,KUPANG,KUPANG,09200,044767226,044768960
8,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0068,SMK PARIT PANJANG,JALAN PARIT PANJANG,KUPANG,09200,044721422,044761269
9,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0069,SMK SYED ABU BAKAR,"KUPANG,",KUPANG,09200,044765797,044765709
10,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0071,SMK BAKAI,MUKIM BAKAI,KUALA KETIL,09300,044430586,044430585
11,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA0072,SMK Bongor,"Batu 48, Jalan Weng",Baling,09100,044701177,044701173
12,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA8019,SMK JENERI,JALAN KG BETONG MUKIM JENERI,JENIANG,08700,044625603,044625604
13,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA8020,SMK SERI ENGGANG,"BATU LIMA, JALAN BATU LIMA SIK",SIK,08200,044625495,044623115
14,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA8021,SMK GULAU,KAMPUNG GULAU,SIK,08210,047521637,047522280
15,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA8022,SMK CHEPIR,KG. CHEPIR,Sik,08200,044721054,044622350
16,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEA8023,SMK BATU LAPAN,Kg Charok Sejuk,SIK,08200,044620024,044620025
17,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEB0037,SMK TUNKU PUTERA,JALAN BALING,BALING,09100,044701270,044707160
18,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEE0038,SMK KUALA KETIL,BATU PEKAKA,KUALA KETIL,09300,044434251,044430589
19,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEE0039,SMK KUALA PEGANG,KUALA PEGANG,BALING,09110,044726332,044765230
20,KEDAH,PPD BALING/SIK,SM Kebangsaan,KEE8018,SMK SIK,JALAN TUNKU IBRAHIM,SIK,08200,044695278,044692982
21,KEDAH,PPD BALING/SIK,SM+ SR (Model Khas),KEA0070,SEKOLAH KHAS BALING,"JALAN BUKIT,CHARUK NAU",BALING,09100,044706793,044705211
22,KEDAH,PPD BALING/SIK,SMK Agama,KRA0001,SMK AGAMA BALING,"BATU 42, JALAN BALING",BALING,09100,044705303,044705387
23,KEDAH,PPD BALING/SIK,SMK Agama,KRA8001,SMK AGAMA SIK,"SIK,",SIK,08200,044693270,044693267
24,KEDAH,PPD KOTA SETAR,Kolej,KHA2001,KOLEJ VOKASIONAL ALOR SETAR,JALAN STADIUM,ALOR SETAR,05100,047333363,047347078
25,KEDAH,PPD KOTA SETAR,SM agama,KFT2001,SM AGAMA DARRUSAADAH,"TITI BESI, KEPALA BATAS",ALOR SETAR,06200,"6047143661",6047141064
26,KEDAH,PPD KOTA SETAR,SM agama,KFT2002,SMA MAKARIMUL AKHLAK,D/A SMK HUTAN KAMPUNG,ALOR SETAR,05350,047303757,047304613
27,KEDAH,PPD KOTA SETAR,SM agama,KFT2003,"SEKOLAH MENENGAH AGAMA IHYA UL-ULUM AD-DINIAH","KM.12, SIMPANG EMPAT",ALOR SETAR,06650,047641269,047641269
28,KEDAH,PPD KOTA SETAR,SM Berasrama Penuh,KEAB002,SM (SAINS) POKOK SENA,"KM25, JALAN KUALA NERANG",POKOK SENA,06400,047823733,047825272
29,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2090,SMK SULTANAH BAHIYAH,LEBUHRAYA SULTANAH BAHIYAH,ALOR SETAR,05350,047331531,047308416
30,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2091,SMK DATO' SYED OMAR,LEBUHRAYA SULTANAH BAHIYAH,ALOR STAR,05350,047321607,047309690
31,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2093,SMK KEPALA BATAS,"KM10, JALAN HUTAN KAMPUNG,",ALOR SETAR,06200,047144041,047141086
32,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2094,SMK SEBERANG PERAK,"JALAN TERATAI PUTIH, TAMAN BERJAYA",ALOR SETAR,05050,047771709,047711704
33,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2095,SMK LANGGAR,JALAN TANJUNG INGGERIS,LANGGAR,06500,047876390,047876391
34,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2096,SMK DATO'WAN MOHD SAMAN,"KM. 7, JALAN SUNGAI PETANI",ALOR SETAR,05400,047643770,047642721
35,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2097,SMK KEAT HWA 2,"TAMAN SERI ABADI, JALAN KUALA KEDAH.",ALOR SETAR,06600,047722661,047723632
36,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2161,SMK TAJAR,JALAN DATUK KUMBAR,LANGGAR,06500,047329011,047329041
37,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2179,SMK SYED MOHAMED AL-BUKHARY (INTEG),"KOMPLEKS PENDIDIKAN, JALAN STADIUM",ALOR SETAR,05604,047308841,047300924
38,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2180,SMK MERGONG,LEBUHRAYA SULTANAH BAHIYAH,ALOR SETAR,05350,047315394,047301870
39,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2182,SMK SIMPANG KUALA,JALAN ALOR MENGKUDU,ALOR SETAR,05400,047344732,047354733
40,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2183,SMK KUBANG ROTAN,KUBANG ROTAN,ALOR SETAR,06250,047324785,047344640
41,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2185,SMK SERI PANTAI,KUALA KEDAH,ALOR STAR,06600,047627331,047621185
42,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2186,SMK HUTAN KAMPONG,JALAN HUTAN KAMPONG,ALOR STAR,05350,047203381,047354317
43,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2187,SMK SERI AMPANG,JALAN KUALA KEDAH,ALOR SETAR,06600,047773322,047773321
44,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEA2188,SMK ALOR MERAH,Alor Merah,Alor Setar,05250,047309101,047309103
45,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEAB001,SMK JABI,JALAN LANGGAR,POKOK SENA,06400,047876755,047870855
46,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEAB003,SMK BUKIT PAYONG,"BUKIT PAYONG, JALAN NAKA,",POKOK SENA,06400,047822105,047822179
47,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEAB004,SMK POKOK SENA 2,Taman Bandar Baru,Pokok Sena,06400,047821395,047821396
48,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2093,SMK DARULAMAN,"KOMPLEKS PENDIDIKAN, JALAN STADIUM",ALOR SETAR,05100,047309125,047300693
49,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2094,SMK KEAT HWA 1 (CF),JALAN KUALA KEDAH,ALOR SETAR,05400,047722053,047717602
50,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2095,SMK SULTANAH ASMA,JALAN LANGGAR,ALOR SETAR,05460,047322618,047328020
51,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2096,KOLEJ SULTAN ABDUL HAMID,JALAN LANGGAR,ALOR SETAR,05460,047332300,047305300
52,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2097,SMK ST MICHAEL,LORONG MERPATI,ALOR SETAR,05200,047322497,047311062
53,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2098,SMK CONVENT (M),JALAN TANJUNG BENDAHARA,ALOR SETAR,05300,047312602,047320496
54,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2099,SMK TUNKU ABDUL RAHMAN,"JALAN PUTRA,MERGONG",ALOR SETAR,05150,047204880,047204881
55,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEB2162,SMK TUNKU SOFIAH,"BT 2, JLN LANGGAR",ALOR SETAR,05460,047333730,047346723
56,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEE2100,SMK TUNKU ABDUL MALIK,ALOR MERAH,ALOR SETAR,05250,047319358,047320443
57,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEE2101,SMK  ALOR JANGGUS,ALOR JANGGUS,ALOR STAR,06250,047337413,047305645
58,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEE2102,SMK MUADZAM SHAH,KOTA SARANG SEMUT.,ALOR STAR,06800,047481800,047481803
59,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEE2104,SMK TUNKU ABD. AZIZ,SIMPANG EMPAT,ALOR STAR,06650,047641213,047644386
60,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEE2107,SMK TUN SHARIFAH RODZIAH,"JALAN KUALA KEDAH,",ALOR SETAR,05400,047711102,047713749
61,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEE2108,SMK TENGKU LAKSAMANA,"JALAN KUALA KEDAH,",ALOR SETAR,06600,047716482,047721482
62,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEE2160,SMK SERI GUNONG,"KM 10, JALAN GUNUNG KERIANG",ALOR SETAR,06570,047209922,047209910
63,KEDAH,PPD KOTA SETAR,SM Kebangsaan,KEEB001,SMK POKOK SENA,JALAN PANCHOR,POKOK SENA,06400,047821237,047821528
64,KEDAH,PPD KOTA SETAR,SM Teknik,KKE2156,SM TEKNIK ALOR SETAR,LEBUHRAYA SULTAN ABDUL HALIM,ALOR SETAR,05400,047721548,047721105
65,KEDAH,PPD KOTA SETAR,SMK Agama,KRA2001,SMK AGAMA KEDAH,LEBUHRAYA SULTANAH BAHIYAH,ALOR SETAR,05350,047314345,047353459
66,KEDAH,"PPD KUALA MUDA/YAN",Kolej,KHA3003,KOLEJ VOKASIONAL SUNGAI PETANI 1,"LOT 82, KG. SG. TUKANG,","SUNGAI PETANI",08000,044428972,044428973
67,KEDAH,"PPD KUALA MUDA/YAN",Kolej,KHA3004,KOLEJ VOKASIONAL SUNGAI PETANI 2,"LOT 82, KG. SG. TUKANG","SUNGAI PETANI",08000,044429034,044427681
68,KEDAH,"PPD KUALA MUDA/YAN",SM agama,KFT3001,SM AGAMA NAHDZAH,"BATU 12, BUKIT BESAR, KOTA SARANG SEMUT",YAN,06800,047691055,047692341
69,KEDAH,"PPD KUALA MUDA/YAN",SM agama,KFT3002,SMA SUNGAI PETANI,BEDONG,BEDONG,08100,044582094,044501122
70,KEDAH,"PPD KUALA MUDA/YAN",SM agama,KFT3003,SMA PEKAN GURUN,JALANRAYA GURUN,GURUN,08300,044686941,044682967
71,KEDAH,"PPD KUALA MUDA/YAN",SM agama,KFT3004,"SEKOLAH MENENGAH AKADEMI ISLAM HAJI ABDULLAH SUBOH","KAMPUNG SINTOK, BUGIS","KOTA KUALA MUDA",08500,044376308,044376308
72,KEDAH,"PPD KUALA MUDA/YAN",SM agama,KFT9001,SMA SAADAH ALDINIAH AL ISLAMIAH,SUNGAI LIMAU DALAM,YAN,06910,"6047694233",6047694233
73,KEDAH,"PPD KUALA MUDA/YAN",SM agama,KFT9002,SMA FAUZI,YAN KECHIL,YAN,06900,044475491,044655486
74,KEDAH,"PPD KUALA MUDA/YAN",SM Berasrama Penuh,KEE3105,SM SAINS SULTAN MOHAMAD JIWA,JALAN BADLISHAH,"SUNGAI PETANI",08000,044212797,044214877
75,KEDAH,"PPD KUALA MUDA/YAN",SM Kebangsaan,KEA3046,SMK KHIR JOHARI,JALAN PENGKALAN,"SUNGAI PETANI",08000,044212648,044258206
76,KEDAH,"PPD KUALA MUDA/YAN",SM Kebangsaan,KEA3105,SMK TUNKU ISMAIL,SUNGAI PETANI,"SUNGAI PETANI",08000,044225508,044223699
77,KEDAH,"PPD KUALA MUDA/YAN",SM Kebangsaan,KEA3106,SMK SUNGAI PASIR,"JALAN BATU LINTANG,SUNGAI PASIR","SUNGAI PETANI",08000,044311764,044311764
78,KEDAH,"PPD KUALA MUDA/YAN",SM Kebangsaan,KEA3107,SMK KOTA KUALA MUDA,"JALAN PANTAI MERDEKA,","KOTA KUALA MUDA",08500,044374224,044374336
79,KEDAH,"PPD KUALA MUDA/YAN",SM Kebangsaan,KEA3108,SMK BUKIT SELAMBAU,BUKIT SELAMBAU,"SUNGAI PETANI",08010,044193023,044191995
