1,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0046,SJK(C) PAY CHEE,PULAU SEBANG,TAMPIN POS,73000,06-4411266,06-4411266
2,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0047,SJK(C) ALOR GAJAH,ALOR GAJAH,ALOR GAJAH,78000,06-5561260,065561260
3,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0048,SJK(C) SANN YUH,SIMPANG  AMPAT,ALOR  GAJAH,78000,06-5529567,065529567
4,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0049,SJK(C) PENG MIN,GADEK,ALOR GAJAH,78000,065548739,065548739
5,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0050,SJK(C) SIN WAH,DURIAN TUNGGAL,"DURIAN TUNGGAL",76100,065531179,065531179
6,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0051,SJK(C) KIOW MIN,REMBIA 78000 ALOR GAJAH,ALOR GAJAH,78000,063161735,063161735
7,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0052,SJK(C) MACHAP BARU,KG. MACHAP BARU,"DURIAN TUNGGAL",76100,065252055,065252055
8,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0053,SJK(C) MACHAP UMBOO,MACHAP UMBOO,ALOR GAJAH,78000,065566610,065566610
9,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0054,SJK(C) TABOH NANING,KG BARU TABOH NANING,ALOR GAJAH,78000,06-4413202,06-4413202
10,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0055,SJK(C) LENDU,KG BARU LENDU,ALOR GAJAH,78000,065568272,065568272
11,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0056,SJK(C) KHIAK YEW,TEBONG,ALOR GAJAH,76460,06-4486349,064486349
12,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0057,SJK(C) MASJID TANAH,MASJID TANAH,MASJID TANAH,78300,063841248,063841248
13,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0058,SJK(C) YOK SIN,KUALA SUNGAI BARU,"KUALA SUNGAI BARU",78200,063877325,063877325
14,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0059,SJK(C) PAYA MENGKUANG,KAMPUNG PAYA MENGKUANG,MASJID TANAH,78300,063842928,063842924
15,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0060,SJK(C) SIN MIN,LUBOK CHINA,LUBOK CHINA,78100,066967697,066967697
16,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (C),MBC0061,SJK(C) CHABAU,"TAMAN ANGKASA NURI DURIAN TUNGGAL","DURIAN TUNGGAL",76100,063341224,063341223
17,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0061,SJK(T) ALOR GAJAH,ALOR GAJAH,ALOR GAJAH,78000,065561337,065561337
18,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0062,SJK(T) DURIAN TUNGGAL,JALAN DURIAN TUNGGAL/ MACHAP,"DURIAN TUNGGAL",76100,065534073,065534073
19,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0063,SJK(T) RUMBIA,"BATU 10, RUMBIA",ALOR GAJAH,78000,063163180,063163180
20,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0064,SJK(T) LADANG GADEK,PULAU SEBANG,TAMPIN,73000,064417882,064417882
21,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0066,SJK(T) KEMUNING (H/D),KM 38 JLN KUALA SUNGGA,TEBONG,76460,064486979,064486979
22,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0067,SJK(T) LDG KEMUNING KRU DIVISION,LADANG  KEMUNING  KRU GADEK,ALOR GAJAH,78000,065549420,065549420
23,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0068,SJK(T) PULAU SEBANG,PULAU SEBANG,TAMPIN,73000,064416258,064416258
24,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0069,SJK(T) LDG SG BARU (H/D),LADANG SUNGAI BARU (H/D),MASJID TANAH,78300,063841896,063841896
25,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0070,SJK(T) LDG TEBONG,LADANG TEBONG,ALOR GAJAH,76460,064486975,064486975
26,MELAKA,PPD ALOR GAJAH,Jenis Kebangsaan (T),MBD0097,SJK(T) PEKAN TEBONG,TEBONG,TEBONG,76460,064486592,064486592
27,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0001,SK MASJID TANAH (INTEG),JALAN SMK.  GHAFAR BABA,MASJID TANAH,78300,063841244,063841244
28,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0002,SK TANJUNG BIDARA,KM 36,MASJID TANAH,78300,063844839,063844822
29,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0003,SK OTHMAN SYAWAL,KUALA SUNGAI BARU,"KUALA SUNGAI BARU",78200,063876712,063879219
30,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0004,SK BUKIT BERINGIN,MASJID TANAH,MASJID TANAH,78300,06-3844284,06-3844284
31,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0005,SK RAMUAN CHINA BESAR,RAMUAN CHINA BESAR,MASJID TANAH,78300,063844531,063844531
32,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0006,SK RAMUAN CHINA KECHIL,BT. 25 RAMUAN CHINA KECHIL,LUBOK CHINA,78100,063846753,063846753
33,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0007,SK AYER LIMAU,"BT 19 1/2, KAMPUNG AYER LIMAU",MASJID TANAH,78300,063845496,063845496
34,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0008,SK KUALA LINGGI,KM 50 KUALA LINGGI,"KUALA SUNGAI BARU",78200,063877510,063877510
35,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0009,SK PENGKALAN BALAK,PENGKALAN BALAK,MASJID TANAH,78300,063844394,063844391
36,MELAKA,PPD ALOR GAJAH,Kebangsaan,MBA0010,SK DURIAN DAUN 'K',MASJID TANAH,MASJID TANAH,78300,063846219,063846219
