BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",Kolej,NHA0001,KOLEJ VOKASIONAL KUALA KLAWANG,"KM. 3, JALAN TITI",KUALA KLAWANG,71600,066137463,066138015
2,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM agama,NFT0001,SM RENDAH AGAMA KUALA KLAWANG,JLN MASJID LAMA,KUALA KLAWANG,71600,066138523,066136859
3,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM agama,NFT0002,SM AGAMA DATO' HAJI TAN AHMAD,KAMPUNG SIMPANG DURIAN,SIMPANG DURIAN,72400,064914680,064915073
4,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM agama,NFT6001,SEKOLAH MENENGAH AGAMA HAJI MUHAMAD,LOT 3222 KAMPUNG JAMBU LAPAN,BAHAU,72100,064545432,064540168
5,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM agama,NFT6002,SM AGAMA DATO' HAJI MUSTAFA,LOT 6348,BATU KIKIR,72200,064981350,064981898
6,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU","SM Berasrama Penuh",NRA6001,SBP INTEGRASI JEMPOL,KM 1 JALAN BATU KIKIR,BATU KIKIR,72200,064985978,064984167
7,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA0025,SMK DATO' UNDANG MUSA AL-HAJ,"KM 2, JALAN PERTANG, KUALA KLAWANG",JELEBU,71600,066136225,066138161
8,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA0026,"SMK DATO' UNDANG SYED ALI AL-JUFRI, SIMPANG GELAMI",BT 4 1/2 PERADONG SIMPANG GELAMI,KUALA KLAWANG,71600,066136895,066138318
9,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6001,SMK BAHAU,"KM 3, JALAN ROMPIN",BAHAU,72100,064541232,064542549
10,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6002,SMK (FELDA) PASOH 2,FELDA PASOH 2,"SIMPANG PERTANG",72300,064961185,064962400
11,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6003,SMK SERI PERPATIH,"PUSAT BANDAR PALONG 4,5 & 6,",GEMAS,73430,064666362,064665711
12,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6005,SMK (FELDA) PALONG DUA,FELDA PALONG 2,GEMAS,73450,064631314,064631173
13,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6006,SMK (FELDA) LUI BARAT,BANDAR SERI JEMPOL,"BANDAR SERI JEMPOL",72120,064676300,064676296
14,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6007,SMK (FELDA) PALONG 7,FELDA PALONG TUJUH,GEMAS,73470,064645464,064645727
15,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6008,SMK (FELDA) BANDAR BARU SERTING,BANDAR SERI JEMPOL,"BANDAR SERI JEMPOL",72120,064581849,064583115
16,"NEGERI SEMBILAN","PPD JEMPOL/JELEBU",SM Kebangsaan,NEA6009,SMK SERTING HILIR KOMPLEKS,FELDA SERTING HILIR 4,"BANDAR SERI JEMPOL",72120,064684504,064683165
