BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,PERAK,PPD BATANG PADANG,Kolej,AHA0002,KOLEJ VOKASIONAL SLIM RIVER,JALAN MELATI,SLIM RIVER,35800,054528408,054527678
2,PERAK,PPD BATANG PADANG,SM agama,AFT0001,SMA DAERAH BATANG PADANG,JALAN TAPAH,BIDOR,35500,054344305,054344305
3,PERAK,PPD BATANG PADANG,"SM Berasrama Penuh",AEA0043,SM SAINS TAPAH,"BATU 2, JALAN PAHANG",TAPAH,35000,054018745,054018743
4,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0033,SMK HAMID KHAN,JALAN DAMAI,TAPAH,35000,054011181,054014200
5,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0034,SMK KHIR JOHARI,JALAN BEROP,TANJONG MALIM,35900,054596334,054582454
6,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0035,SMK TROLAK SELATAN,FELDA TROLAK SELATAN,SUNGKAI,35600,054322303,054321125
7,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0036,SMK SLIM,"JLN MELATI, TAMAN SEROJA",SLIM RIVER,35800,054528926,054520514
8,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0037,SMK (FELDA) BESOUT,FELDA BESOUT 1,SUNGKAI,35600,054311721,054311721
9,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0038,SMK SUNGAI KERUIT,SIMPANG SUNGAI KLAH,SUNGKAI,35600,054388308,054386443
10,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0039,SMK AIR KUNING,JALAN DEGONG,"MAMBANG DI AWAN",31920,054789879,054789879
11,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0040,SMK CHENDERIANG,"KM 2, JALAN TEMOH TAPAH",TEMOH,35350,054199328,054190145
12,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0041,SMK TAPAH,JALAN BIDOR LAMA,TAPAH,35000,054013677,054013677
13,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0042,SMK BIDOR,JALAN TELUK INTAN,BIDOR,35500,054347127,054340400
14,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0044,SMK BANDAR BEHRANG 2020,BANDAR BEHRANG 2020,TANJONG MALIM,35900,054581172,054581168
15,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEB0035,SMK BUYONG ADIL,JALAN KELAB,TAPAH,35000,054011152,054018340
16,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEB0036,SMK SRI TAPAH,JALAN PAHANG,TAPAH,35000,054012628,054018236
17,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEB0038,SMK CHOONG HUA,JALAN PASAR,BIDOR,35500,054341140,054348617
18,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEB0042,SMK METHODIST,JALAN SLIM,TANJONG MALIM,35900,054596244,054585496
19,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEB0043,SMK KATHOLIK,JALAN SLIM LAMA,TANJONG MALIM,35900,054596241,054582376
20,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEE0037,SMK DATO' PANGLIMA PERANG KIRI,JALAN TAPAH ROAD,TAPAH ROAD,35400,054181061,054018630
21,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEE0039,SMK SYEIKH ABDUL GHANI,JALAN SUNGKAI,BIDOR,35500,054341357,054348750
22,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEE0040,SMK SUNGKAI,JALAN PEKAN LAMA,SUNGKAI,35600,054386609,054386610
23,PERAK,PPD BATANG PADANG,SM Kebangsaan,AEE0041,SMK DATO' ZULKIFLI MUHAMMAD,SLIM RIVER,SLIM RIVER,35800,054528275,054527962
24,PERAK,PPD BATANG PADANG,SMK Agama,ARA0001,SMKA SLIM RIVER,JLN. BESAR TG.MALIM - SLIM RIVER,SLIM RIVER,35800,054527213,054526214
25,PERAK,PPD HILIR PERAK,Kolej,AHA5001,KOLEJ VOKASIONAL (PERTANIAN) TELUK INTAN,"BATU 4, JALAN CHANGKAT JONG",TELUK INTAN,36000,056227322,056232941
26,PERAK,PPD HILIR PERAK,SM agama,AFT5001,SMA AL-ULUM AL-SYAR'IYYAH,"BATU 20, JALAN BAGAN DATOK",SELEKOH,36200,056489358,056486939
27,PERAK,PPD HILIR PERAK,"SM Berasrama Penuh",AEA5077,SM (SAINS) TELOK INTAN,BATU 8 JALAN HUTAN MELINTANG,TELUK INTAN,36000,056411711,056411155
28,PERAK,PPD HILIR PERAK,"SM Berasrama Penuh",AEA5083,SM SAINS BAGAN DATOH,JALAN BAGAN DATOH,BAGAN DATOH,36100,056466331,056466332
29,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5072,SMK SUNGAI MANIK,SUNGAI MANIK,TELUK INTAN,36000,056221825,056221825
30,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5073,SMK SERI PERAK,JALAN CHANGKAT JONG,TELUK INTAN,36000,056221707,056227573
31,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5074,SMK SULTAN ABDULLAH,BATU 11 1/2 JALAN CHENDERONG BALAI,"CHENDERONG BALAI",36600,056511835,056511260
32,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5075,SMK ULU BERNAM,"BAHAGIAN SATU, LADANG ULU BERNAM",ULU BERNAM,36500,056366107,056366096
33,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5076,SMK HUTAN MELINTANG,SIMPANG EMPAT,"HUTAN MELINTANG",36400,056411378,056415516
34,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5078,SMK ABDUL RAHMAN TALIB,JALAN CHANGKAT JONG,TELUK INTAN,36000,056216070,056232826
35,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5079,SMK SERI SETIA,JALAN PADANG TEMBAK,TELUK INTAN,36000,056225628,056236148
36,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5080,SMK SERI KANDI,JALAN PADANG TEMBAK,TELUK INTAN,36000,056221667,056237521
37,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5081,SMK SERI PERKASA,JALAN SABAK BERNAM,"HUTAN MELINTANG",36400,056416680,056418109
38,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEA5082,SMK RUNGKUP,JALAN RUNGKUP,SELEKOH,36200,056467021,056468701
39,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEB5165,SMK SULTAN ABDUL AZIZ,JALAN PADANG TEMBAK,TELUK INTAN,36007,056221159,056215348
40,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEB5166,SMK RAJA MUDA MUSA,PEKAN BARU,TELUK INTAN,36000,056221123,056219796
41,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEB5167,SMK ST. ANTHONY,PETI SURAT 128,TELUK INTAN,36008,056221914,056221914
42,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEB5168,SMK HORLEY METHODIST,JALAN RAJA MUSA,TELUK INTAN,36000,056221215,056217258
43,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEB5169,SMK CONVENT,JALAN SEKOLAH,TELUK INTAN,36007,056221936,056212842
44,PERAK,PPD HILIR PERAK,SM Kebangsaan,AEB5170,SMK SAN MIN,"LOT 1146,JALAN MERBOK",TELUK INTAN,36000,056221216,056237060
