BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,PERLIS,JPN PERLIS,Kolej,RHA0002,KOLEJ VOKASIONAL KANGAR,JALAN SEKOLAH DERMA,KANGAR,01000,049760471,049782058
2,PERLIS,JPN PERLIS,Kolej,RHA0003,KOLEJ VOKASIONAL ARAU,JALAN PADANG NYU,ARAU,02600,049865211,049865211
3,PERLIS,JPN PERLIS,SM agama,RFT0001,SEKOLAH AGAMA AL-ISLAHIYAH (MENENGAH),BOHOR MALI,"SIMPANG EMPAT",02700,049807360,049808785
4,PERLIS,JPN PERLIS,SM agama,RFT0002,SMA AL MADRASAH AL ALAWIYAH AD DINIAH,"DEPAN POLIKLINIK ARAU, JALAN TUANKU SYED SIRAJUDDIN (JALAN BESAR ARAU),",ARAU,02600,049861350,049866852
5,PERLIS,JPN PERLIS,"SM Berasrama Penuh",REE0072,SM (SAINS) TUANKU SYED PUTRA,"JALAN BEHOR PULAI,",KANGAR,01000,049760433,049760199
6,PERLIS,JPN PERLIS,SM Kebangsaan,REA0054,SMK DATO' SHEIKH AHMAD,JALAN BESAR ARAU,ARAU,02600,049861239,049861239
7,PERLIS,JPN PERLIS,SM Kebangsaan,REA0055,SMK SYED AHMAD,"JALAN TAMBUN TULANG, KG. BOHOR MENTALON",ARAU,02600,049861172,049867004
8,PERLIS,JPN PERLIS,SM Kebangsaan,REA0056,SMK SYED HASSAN,JLN SEK DERMA,KANGAR,01000,049766217,049776641
9,PERLIS,JPN PERLIS,SM Kebangsaan,REA0074,SMK RAJA PUAN MUDA TENGKU FAUZIAH,JLN PADANG BESAR (U),KAKI BUKIT,02200,049456223,049456248
10,PERLIS,JPN PERLIS,SM Kebangsaan,REA0076,SMK KUALA PERLIS,JLN KUALA PERLIS,KUALA PERLIS,02000,049854212,049851172
11,PERLIS,JPN PERLIS,SM Kebangsaan,REA0077,SMK DATUK JAAFAR HASSAN,JLN KILANG GULA,BUKIT KETERI,02450,049382744,049383144
12,PERLIS,JPN PERLIS,SM Kebangsaan,REA0078,SMK ARAU,JLN BESAR ARAU,Arau,02600,049863907,049862171
13,PERLIS,JPN PERLIS,SM Kebangsaan,REA0079,SMK SANGLANG,KG  RAMA,"SIMPANG EMPAT",02800,049809316,049805816
14,PERLIS,JPN PERLIS,SM Kebangsaan,REA0080,SMK ABI,"KM 7, JLN PADANG MELANGIT",KANGAR,01000,049781002,049763707
15,PERLIS,JPN PERLIS,SM Kebangsaan,REA0081,SMK PADANG BESAR UTARA,JALAN PADANG BESAR,"PADANG BESAR",02100,049492959,049492698
16,PERLIS,JPN PERLIS,SM Kebangsaan,REA0082,SMK TENGKU BUDRIAH,JALAN ULU PAUH,ARAU,02600,049869089,049869089
17,PERLIS,JPN PERLIS,SM Kebangsaan,REA0083,SMK DATO' ALI AHMAD,JALAN DATO' ALI,KANGAR,01000,049760797,049760797
18,PERLIS,JPN PERLIS,SM Kebangsaan,REA0084,SMK TUANKU LAILATUL SHAHREEN,JALAN PADANG BEHOR,KANGAR,01000,049782060,049782062
19,PERLIS,JPN PERLIS,SM Kebangsaan,REA0085,SEKOLAH MENENGAH KEBANGSAAN BESERI,"MUKIM BESERI, BESERI",KANGAR,02400,049383832,049383831
20,PERLIS,JPN PERLIS,SM Kebangsaan,REA0086,SEKOLAH MENENGAH KEBANGSAAN MATA AYER,MUKIM NGULANG,MATA AYER,02500,049470024,049470026
21,PERLIS,JPN PERLIS,SM Kebangsaan,REA0087,SEKOLAH MENENGAH KEBANGSAAN GUAR NANGKA,MUKIM PADANG SIDING,ARAU,02600,"0124926508",""
22,PERLIS,JPN PERLIS,SM Kebangsaan,REB0057,SMK PUTRA,JALAN PADANG KATONG,KANGAR,01000,049761150,049763246
23,PERLIS,JPN PERLIS,SM Kebangsaan,REB0058,SMK PERLIS,JLN RAJA SYED ALWI,KANGAR,01000,049761024,049779686
24,PERLIS,JPN PERLIS,SM Kebangsaan,REE0059,SMK  DERMA,JALAN PENJARA,KANGAR,01000,049761202,049771277
25,PERLIS,JPN PERLIS,SM Kebangsaan,REE0060,SMK SYED ALWI,KAYANG,KANGAR,01000,049762539,049771920
26,PERLIS,JPN PERLIS,SM Kebangsaan,REE0061,SMK SYED SAFFI,"KM12,  JALAN KANGAR-ALOR SETAR","SIMPANG EMPAT",02700,049807226,049805595
27,PERLIS,JPN PERLIS,SM Kebangsaan,REE0062,SMK SYED SIRAJUDDIN,"JEJAWI, JALAN BESAR KANGAR ARAU,",ARAU,02600,049760161,049776604
28,PERLIS,JPN PERLIS,SM Kebangsaan,REE0063,SMK TENGKU SULAIMAN,"JALAN BUKIT KETERI,BESERI",KANGAR,02400,049381367,049386031
29,PERLIS,JPN PERLIS,SMK Agama,RRA0001,SMKA ARAU,JALAN RAJA SYED HASSAN,ARAU,02600,049861246,049861542
30,PERLIS,JPN PERLIS,SMK Agama,RRA0002,SMKA (P) ALAWIYAH,PERSIARAN JUBLI EMAS,KANGAR,01000,049760336,049770834
