BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,SARAWAK,PPD BARAM,Jenis Kebangsaan (C),YBC4302,"SEKOLAH JENIS KEBANGSAAN SUNGAI JAONG MARUDI",D/A PEJABAT PELAJARAN DAERAH  BARAM.,MARUDI,98050,085755219,085756931
2,SARAWAK,PPD BARAM,Jenis Kebangsaan (C),YCC4301,SJK(C) CHIAW NAN,D/A PEJABAT PELAJARAN DAERAH BARAM.,MARUDI,98050,TIADA,TIADA
3,SARAWAK,PPD BARAM,Jenis Kebangsaan (C),YCC4302,SJK(C) CHUNG HUA,D/A PEJABAT PELAJARAN DAERAH BARAM,MARUDI,98050,6085755843,6085755843
4,SARAWAK,PPD BARAM,Jenis Kebangsaan (C),YCC4303,SJK(C) KEE TEE,D/A PEJABAT PELAJARAN DAERAH KECIL MARUDI,MARUDI,98050,085771270,085771270
5,SARAWAK,PPD BARAM,Jenis Kebangsaan (C),YCC4305,SJK(C) HUA NAM,"25 KM, JALAN POYUT",MARUDI,98050,"",""
6,SARAWAK,PPD BARAM,Kebangsaan,YBA4301,SK LONG SAIT,D/A PEJABAT PELAJARAN DAERAH BARAM.,MARUDI,98050,TIADA,TIADA
7,SARAWAK,PPD BARAM,Kebangsaan,YBA4303,SK LONG  TERAN  KANAN,"D/A PEJABAT PENDIDIKAN DAERAH BARAM, MARUDI, LOT 1081 & 1082, JALAN KAMPUNG DAGA",MARUDI,98050,"",""
8,SARAWAK,PPD BARAM,Kebangsaan,YBA4304,SK LONG PELUTAN,D/A PEJABAT PELAJARAN DAERAH BARAM,MARUDI,98050,0135667906,TIADA
9,SARAWAK,PPD BARAM,Kebangsaan,YBA4306,SK LONG LUTENG,D/A PEJABAT PELAJARAN DAERAH KECIL MARUDI,MARUDI,98050,0132860063,085756893
10,SARAWAK,PPD BARAM,Kebangsaan,YBA4307,SK UMA BAWANG,"SK UMA BAWANG, D/A PEJABAT PELAJARAN DAERAH BARAM",MARUDI,98050,TIADA,TIADA
11,SARAWAK,PPD BARAM,Kebangsaan,YBA4308,SK LONG LAPOK,D/A PEJABAT PELAJARAN DAERAH BARAM,MARUDI,98050,0132860045,TIADA
12,SARAWAK,PPD BARAM,Kebangsaan,YBA4309,SK LONG KEVOK,D/A PEJABAT PENDIDIKAN DAERAH  BARAM.,MARUDI,98050,TIADA,TIADA
13,SARAWAK,PPD BARAM,Kebangsaan,YBA4310,SK BATU BUNGAN,D/A PEJABAT PELAJARAN DAERAH  BARAM.,MARUDI,98050,TIADA,TIADA
14,SARAWAK,PPD BARAM,Kebangsaan,YBA4311,SK LONG JEKITAN,"SK. LONG JEKITAN, D/A PPD BARAM",MARUDI,98050,0147894895,""
15,SARAWAK,PPD BARAM,Kebangsaan,YBB4301,SK PENGARAH ENTERI,"S K PENGARAH ENTERI , D/A PPD BARAM",MARUDI,98050,085775007,TIADA
16,SARAWAK,PPD BARAM,Kebangsaan,YBB4303,SK LONG IKANG,D/A PEJABAT PENDIDIKAN DAERAH BARAM.,MARUDI,98050,0132860039,TIADA
17,SARAWAK,PPD BARAM,Kebangsaan,YBB4304,SK LUBOK NIBONG,D/A PEJABAT PELAJARAN DAERAH  BARAM.,MARUDI,98050,TIADA,TIADA
18,SARAWAK,PPD BARAM,Kebangsaan,YBB4305,SK POYUT,D/A PEJABAT PENDIDIKAN DAERAH  BARAM.,MARUDI,98050,"",""
19,SARAWAK,PPD BARAM,Kebangsaan,YBB4306,SK LONG TERU,"LONG TERU, TINJAR",MARUDI,98050,0132860036,TIADA
20,SARAWAK,PPD BARAM,Kebangsaan,YBB4307,SK LONG MOH,D/A PEJABAT PENDIDIKAN DAERAH BARAM.,MARUDI,98050,TIADA,TIADA
21,SARAWAK,PPD BARAM,Kebangsaan,YBB4308,SK LONG ATON,D/A PEJABAT PENDIDIKAN DAERAH BARAM,MARUDI,98050,TIADA,TIADA
22,SARAWAK,PPD BARAM,Kebangsaan,YBB4309,SK LONG PANAI,"SK LONG PANAI, D/A PPD BARAM.",MARUDI,98050,TIADA,TIADA
23,SARAWAK,PPD BARAM,Kebangsaan,YBB4310,SK LONG LAPUT,D/A PEJABAT PELAJARAN DAERAH BARAM,MARUDI,98050,0132860051,TIADA
24,SARAWAK,PPD BARAM,Kebangsaan,YBB4311,SK LONG LELLANG,D/A PEJABAT PELAJARAN DAERAH BARAM.,MARUDI,98050,0135600428,TIADA
25,SARAWAK,PPD BARAM,Kebangsaan,YBB4313,SK LONG BEDIAN,D/A PEJABAT PELAJARAN DAERAH KECIL BARAM,MARUDI,98050,085773101,TIADA
26,SARAWAK,PPD BARAM,Kebangsaan,YBB4314,SK LONG ANAP,"SK LONG ANAP, D/A PEJABAT PELAJARAN DAERAH BARAM",MARUDI,98050,0132860076,TIADA
27,SARAWAK,PPD BARAM,Kebangsaan,YBB4315,SK LIO MATO,"D/A PEJABAT PENDIDIKAN DAERAH BARAM,",MARUDI,98050,TIADA,TIADA
28,SARAWAK,PPD BARAM,Kebangsaan,YBB4316,SK LONG BEMANG,LONG BEMANG,MARUDI,98050,"",TIADA
29,SARAWAK,PPD BARAM,Kebangsaan,YBB4317,SK LONG JEGAN,D/A PEJABAT PELAJARAN DAERAH BARAM.,MARUDI,98050,0128508141,TIADA
30,SARAWAK,PPD BARAM,Kebangsaan,YBB4319,SK LONG ATIP,"SK LONG ATIP, D/A PEJABAT PELAJARAN DAERAH BARAM",MARUDI,98050,"019-8053725",TIADA
