BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
1,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Berasrama Penuh,WEA2006,SEKOLAH SULTAN ALAM SHAH (SMBP),"PARCEL G, PRESINT 1,",PUTRAJAYA,62520,0388883763,0388883614
2,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2001,SMK PUTRAJAYA PRESINT 8(1),"NO. 4, JALAN P8, PRESINT 8",PUTRAJAYA,62250,0388880200,0388880131
3,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2002,SMK PUTRAJAYA PRESINT 9(1),"JALAN P9F, PRESINT 9",PUTRAJAYA,62250,0388885150,0388895150
4,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2003,SMK PUTRAJAYA PRESINT 16(1),"JLN P16G, PRESINT 16",PUTRAJAYA,62150,0388880248,0388885144
5,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2004,SMK PUTRAJAYA PRESINT 11(1),"JALAN P11J1, PRESINT 11",PUTRAJAYA,62300,0388887100,0388888359
6,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2005,SMK PUTRAJAYA PRESINT 9(2),"JALAN P9A, PRESINT 9",PUTRAJAYA,62250,0388811207,0388811210
7,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2007,SMK PUTRAJAYA PRESINT 14(1),"NO. 1A, JALAN P14, PRESINT 14,",PUTRAJAYA,62300,0388902950,0388902951
8,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2008,SMK PUTRAJAYA PRESINT 11(2),"NO 1, JALAN P11C, PRESINT 11",PUTRAJAYA,62300,0388903490,0388903487
9,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2009,SMK PUTRAJAYA PRESINT 18(1),"JALAN P18, PRESINT 18",PUTRAJAYA,62150,0388905420,0388905421
10,WP PUTRAJAYA,JPWP PUTRAJAYA,SM Kebangsaan,WEA2010,SMK PUTRAJAYA PRESINT 5(1),"JALAN P5A/5, PRESINT 5 ,",PUTRAJAYA,62000,0388610565,0388610636
11,WP PUTRAJAYA,JPWP PUTRAJAYA,SMK Agama,WRA2001,SMKA PUTRAJAYA,"NO.1, JALAN P11C, PRESINT 11",PUTRAJAYA,62300,0388881678,0388881679
