1,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0115,SJK(C) CHIN WOO,"JALAN SELADANG OFF JALAN PASAR,",KUALA LUMPUR,55100,0392210618,0392222358
2,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0118,SJK(C) CHUNG KWO,JALAN LOKE YEW,KUALA LUMPUR,55200,0392216685,0392238955
3,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0120,SJK(C) CONFUCIAN,"6 KM, JLN SG  BESI",KUALA LUMPUR,57100,0379813082,0379805381
4,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0121,SJK(C) JALAN DAVIDSON,JALAN HANG JEBAT,KUALA LUMPUR,50150,0320721018,0320785066
5,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0122,SJK(C) JALAN IMBI,"JALAN HORLEY, OFF JALAN IMBI",KUALA LUMPUR,55100,0321423058,0321420659
6,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0124,SJK(C) KUNG MIN,"JLN LANDAK, PUDU",KUALA LUMPUR,55100,0392224719,0392238543
7,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0125,SJK(C) KUEN CHENG 1,JALAN BELFIELD,KUALA LUMPUR,50460,0321428271,0321483959
8,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0126,SEKOLAH JENIS KEBANGSAAN CINA LA SALLE,"NO:10, JALAN 2/149 , SRI PETALING",KUALA LUMPUR,57000,0379871818,0379838000
9,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0131,SJK(C) NAAM KHEUNG,"BATU 3 1/2, JALAN CHERAS",KUALA LUMPUR,56000,0392847371,0392826917
10,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0133,SJK(C) CHONG FAH PHIT CHEE,"JALAN BRUNAI, PUDU",KUALA LUMPUR,55100,0321429107,0321410449
11,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0135,SJK(C) SAM YOKE,"KM 4, JALAN SUNGAI BESI",KUALA LUMPUR,57100,0392217985,0392217985
12,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0138,SJK(C) ST. TERESA BRICKFIELDS,"JALAN SULTAN ABDUL SAMAD, BRICKFIELDS",KUALA LUMPUR,50470,0322744152,0322721641
13,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0139,SJK(C) TAI THUNG,SALAK SOUTH,KUALA LUMPUR,57100,0379813928,0379803582
14,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0140,SJK(C) TSUN JIN,"JALAN PERWIRA, KG. PANDAN,",KUALA LUMPUR,55100,0392857232,0392879630
15,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0141,SJK(C) YOKE NAM,"JALAN HUJAN EMAS 6 TAMAN OVERSEAS UNION",KUALA LUMPUR,58200,0379825285,0379875285
16,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0144,SJK(C) CHOONG WEN,"BATU 4 1/2, JALAN KELANG LAMA",KUALA LUMPUR,58000,0379834473,0379804106
17,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0153,SJK(C) KWONG HON,SUNGAI BESI,KUALA LUMPUR,57000,0390581013,0390563811
18,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0158,SJK(C) SALAK SOUTH,JALAN 38 SALAK SOUTH BARU,KUALA LUMPUR,57100,0379835457,0379824762
19,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0170,SJK(C) KUEN CHENG 2,JALAN KERAYONG AMAN,KUALA LUMPUR,50460,0322605680,0322744617
20,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (C),WBC0171,SJK(C) TAMAN CONNAUGHT,"JALAN GELIGA, TAMAN CONNAUGHT",KUALA LUMPUR,56000,0391309373,0391322757
21,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0169,SJK(T) JALAN BANGSAR,JALAN LENGKUK ABDULLAH,KUALA LUMPUR,59000,0322825668,0322825668
22,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0170,SJK(T) CHERAS,"BATU 2 1/2, JALAN CHERAS,",KUALA LUMPUR,56100,0392842739,0392842739
23,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0172,SJK(T) KG PANDAN,JALAN THAVER,KUALA LUMPUR,55100,0392841049,0392841049
24,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0174,SJK(T) JLN SAN PENG,JALAN SAN PENG,KUALA LUMPUR,55200,0392213652,0392213652
25,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0178,SJK(T) VIVEKANANDA,NO 4 JALAN VIVEKANANDA BRICKFIELDS,KUALA LUMPUR,50470,0322748218,0322748218
26,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0181,SJK(T) LADANG BUKIT JALIL,"JALAN 5/155, TAMAN INDUSTRI BUKIT OUG",KUALA LUMPUR,58200,0377831173,0377831173
27,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0191,SJK(T) SARASWATHY,"KM 10  JALAN  KLANG  LAMA  , PETALING",KUALA LUMPUR,58200,0377815787,0377815787
28,WP KUALA LUMPUR,PPW BANGSAR PUDU,Jenis Kebangsaan (T),WBD0193,SJK(T) SG BESI,SUNGAI BESI,KUALA LUMPUR,57000,0390581355,0390581355
29,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0002,SK SULTAN HISAMUDDIN ALAM SHAH,JALAN SULTAN SALAHUDDIN,KUALA LUMPUR,50480,0326925164,0326918586
30,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0003,SK JALAN PASAR 1,JALAN RUSA,KUALA LUMPUR,55100,0392218019,0392218019
31,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0004,SK JALAN PASAR 2,JALAN RUSA,KUALA LUMPUR,55100,0392216525,0392216525
32,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0005,SK TUN HUSSEIN ONN,"JLN DUA, KG PANDAN",KUALA LUMPUR,55100,0392842316,0392842316
33,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0011,SK BUKIT BANDARAYA,"JALAN BANGKUNG, BANGSAR",KUALA LUMPUR,59100,0320950162,0320945740
34,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0012,SK BANGSAR,JALAN PANTAI BHARU,KUALA LUMPUR,59200,0322824990,0322825550
35,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0017,SK TAMAN MIDAH,"JALAN MIDAH 11, TAMAN MIDAH CHERAS",KUALA LUMPUR,56000,0391305519,0391335331
36,WP KUALA LUMPUR,PPW BANGSAR PUDU,Kebangsaan,WBA0018,SK TAMAN TUN DR ISMAIL 1,"JLN. AMINUDDIN BAKI, TMN. TUN DR. ISMAIL",KUALA LUMPUR,60000,0377273060,0377261407
